tag,id,time,Ax,Ay,Az,gx,gy,gz
1,0,0,6.69,1.37,-0.34,-0.24,0.21,0.15
1,0,10,9.58,0.82,0.45,-0.24,-0.04,0.13
1,0,20,10.23,0.86,0.72,-0.2,-0.07,0.13
1,0,33,10.12,0.8,0.71,-0.19,-0.06,0.12
1,0,40,10.07,0.66,0.68,-0.17,-0.05,0.13
1,0,50,9.91,0.65,0.92,-0.17,-0.01,0.16
1,0,60,10.01,0.6,1,-0.14,-0.12,0.17
1,0,70,9.99,0.59,1.39,-0.08,-0.12,0.15
1,0,84,10.04,0.6,1.39,-0.05,-0.11,0.1
1,0,91,10.07,0.52,1.24,-0.02,-0.12,0.08
1,0,100,9.95,0.43,1.18,-0.01,-0.11,0.08
1,0,110,9.93,0.38,1.09,-0.03,-0.08,0.09
1,0,119,9.86,0.47,1.28,-0.05,-0.05,0.12
1,0,130,9.72,0.5,1.58,-0.04,0,0.16
1,0,140,9.44,0.51,1.79,-0.01,0.05,0.2
1,0,150,9.3,0.56,2.17,0.04,0.05,0.25
1,0,160,9.01,0.64,2.64,0.08,0.06,0.32
1,0,170,9.03,0.72,3.23,0.12,0.09,0.4
1,0,180,8.89,0.75,3.78,0.15,0.15,0.51
1,0,190,9.2,0.59,4.46,0.18,0.2,0.66
1,0,204,9.77,0.23,5.1,0.24,0.23,0.81
1,0,210,10.69,-0.17,6,0.37,0.26,0.9
1,0,222,11.62,-0.45,6.48,0.57,0.27,0.9
1,0,230,12.66,-0.73,6.81,0.88,0.23,0.83
1,0,240,13.41,-0.87,6.77,1.24,0.22,0.71
1,0,250,14.32,-1.09,6.33,1.59,0.22,0.54
1,0,261,15,-1.14,5.56,1.85,0.19,0.36
1,0,270,15.7,-0.95,4.43,2.04,0.25,0.14
1,0,280,16.04,-0.8,3.43,2.13,0.31,-0.09
1,0,290,16.52,-0.6,2.2,2.17,0.28,-0.32
1,0,300,17.14,-0.4,0.8,2.22,0.29,-0.54
1,0,310,17.59,-0.17,-0.43,2.24,0.31,-0.77
1,0,320,17.84,0.17,-1.66,2.22,0.42,-1.04
1,0,330,17.73,0.34,-2.98,2.11,0.48,-1.32
1,0,340,17.7,0.4,-4.28,1.95,0.51,-1.61
1,0,350,17.24,0.64,-5.38,1.76,0.52,-1.91
1,0,360,16.28,0.74,-6.36,1.53,0.49,-2.23
1,0,371,15.18,0.89,-7.13,1.27,0.33,-2.52
1,0,380,13.83,1,-7.9,0.97,0.11,-2.79
1,0,390,12.61,1.27,-8.18,0.66,-0.03,-2.99
1,0,402,11.31,1.3,-8.25,0.34,-0.12,-3.11
1,0,410,9.93,1.34,-8.39,0.04,-0.14,-3.13
1,0,420,8.62,1.3,-8.29,-0.23,-0.09,-3.04
1,0,430,7.47,1.32,-8.08,-0.5,-0.04,-2.87
1,0,444,6.43,1.41,-7.84,-0.75,0,-2.68
1,0,450,5.52,1.43,-7.25,-1.03,0.02,-2.45
1,0,460,4.86,1.44,-6.9,-1.25,0.04,-2.25
1,0,471,4.36,1.38,-6.59,-1.47,0,-2.02
1,0,482,4.01,1.46,-5.88,-1.67,-0.01,-1.77
1,0,490,3.61,1.47,-5.3,-1.86,-0.05,-1.53
1,0,503,3.28,1.34,-4.69,-2.03,-0.13,-1.35
1,0,510,2.99,1.3,-3.85,-2.16,-0.19,-1.16
1,0,521,2.85,1.23,-3.21,-2.25,-0.25,-0.98
1,0,530,2.66,1.14,-2.64,-2.32,-0.33,-0.77
1,0,541,2.5,1.04,-1.88,-2.38,-0.35,-0.54
1,0,551,2.47,0.94,-1.28,-2.45,-0.35,-0.28
1,0,562,2.49,0.8,-0.57,-2.5,-0.34,-0.01
1,0,570,2.73,0.76,0.16,-2.53,-0.32,0.25
1,0,582,3.05,0.7,0.96,-2.52,-0.29,0.49
1,0,590,3.51,0.63,1.71,-2.5,-0.27,0.72
1,0,600,3.82,0.47,2.2,-2.46,-0.26,0.93
1,0,610,4.36,0.31,2.86,-2.39,-0.29,1.11
