tag,id,time,Ax,Ay,Az,gx,gy,gz
1,0,0,10.34,1.02,0.15,-0.19,0.21,0.75
1,0,13,10.43,1.97,0.57,-0.15,0.27,0.67
1,0,20,10.46,1.59,0.59,-0.1,0.26,0.55
1,0,30,10.58,1.73,0.43,-0.02,0.19,0.48
1,0,40,10.44,1.6,0.24,0.03,0.05,0.44
1,0,52,10.63,1.62,0.05,0.03,-0.06,0.42
1,0,65,10.56,1.55,-0.06,-0.01,-0.19,0.4
1,0,71,10.84,1.65,-0.02,-0.03,-0.2,0.36
1,0,83,10.7,1.8,0.03,-0.05,-0.26,0.35
1,0,97,10.78,1.74,0.13,-0.04,-0.33,0.33
1,0,101,10.72,1.76,0.23,-0.01,-0.3,0.3
1,0,114,10.66,1.48,0.25,0.05,-0.22,0.26
1,0,123,10.64,1.51,0.2,0.11,-0.17,0.23
1,0,131,10.62,1.67,0.02,0.16,-0.18,0.2
1,0,141,10.7,1.65,-0.23,0.17,-0.16,0.18
1,0,152,10.79,1.87,-0.26,0.12,-0.09,0.15
1,0,161,10.97,1.8,-0.32,0.06,-0.09,0.09
1,0,172,10.95,1.97,-0.32,0.02,-0.09,0.02
1,0,181,10.98,2.12,-0.14,0,-0.11,-0.06
1,0,192,11.28,1.85,0.15,-0.01,-0.19,-0.08
1,0,201,11.44,1.75,0.25,0,-0.2,-0.1
1,0,212,11.74,1.7,0.34,0.07,-0.14,-0.13
1,0,221,12,1.52,0.35,0.15,-0.09,-0.2
1,0,232,12.14,1.91,0.32,0.24,-0.1,-0.35
1,0,241,12.07,2.08,0.07,0.32,-0.14,-0.57
1,0,251,11.93,2.46,-0.3,0.35,-0.28,-0.8
1,0,261,11.43,2.49,-0.62,0.34,-0.47,-1.04
1,0,272,10.72,2.79,-0.7,0.31,-0.59,-1.26
1,0,281,9.68,2.79,-1.03,0.22,-0.6,-1.35
1,0,293,8.12,2.41,-0.96,0.08,-0.34,-1.23
1,0,302,6.21,1.92,-1.02,-0.11,0.42,-0.78
1,0,312,4.11,1.18,-1.64,-0.3,1.22,0.08
1,0,321,2.62,0.7,-2.74,-0.46,1.78,1.12
1,0,333,1.45,0.45,-3.2,-0.61,2.14,2.05
1,0,343,1.04,0.82,-3.09,-0.79,2.13,2.69
1,0,355,1.35,0.86,-2.49,-0.98,1.98,3.05
1,0,362,1.39,0.35,-1.39,-1.18,1.99,3.33
1,0,373,1.36,-0.66,-1.01,-1.36,1.97,3.63
1,0,382,2.2,-1.56,-0.38,-1.44,1.53,3.96
1,0,391,3.99,-2.17,0.71,-1.36,1.1,4.26
1,0,401,7.25,-3.01,1.67,-1.19,0.87,4.37
1,0,415,10.81,-3.06,3.26,-0.98,0.82,4.37
1,0,422,13.82,-2.89,4.4,-0.68,0.64,4.03
1,0,433,15.98,-3.05,4.69,-0.3,0.26,3.42
1,0,441,17.37,-3.39,4.86,0.03,0.09,2.78
1,0,451,18.41,-3.68,3.99,0.22,-0.07,2.21
1,0,462,18.77,-3.53,3.86,0.25,-0.09,1.68
1,0,474,18.71,-3.01,3.85,0.18,-0.11,1.09
1,0,481,18.2,-2.74,3.81,0.13,-0.16,0.52
1,0,491,17.56,-2.65,3.8,0.16,-0.21,0.04
1,0,502,16.96,-2.36,3.78,0.24,-0.38,-0.4
1,0,518,16.58,-2.22,3.43,0.34,-0.51,-0.85
1,0,522,16.68,-1.67,2.56,0.36,-0.69,-1.35
1,0,532,16.08,-1.38,2.3,0.31,-1.03,-1.96
1,0,541,15.65,-1.05,2.1,0.25,-1.6,-2.69
1,0,552,15.16,-0.95,1.92,0.25,-2.28,-3.45
1,0,561,14.51,-0.6,1.88,0.29,-2.95,-4.17
1,0,572,13.61,-0.37,1.47,0.35,-3.53,-4.37
1,0,581,12.44,-0.43,1.04,0.38,-3.86,-4.37
1,0,592,10.93,-0.4,0.36,0.33,-3.8,-4.37
1,0,601,9.27,-0.49,0.14,0.24,-3.51,-4.37
1,0,612,7.4,-0.66,0.21,0.16,-2.58,-4.32
1,0,621,5.67,-0.58,-0.06,0.1,-1.55,-3.31
1,0,631,4.36,-0.24,-0.84,0.07,-0.56,-2.13
1,0,641,3.58,0.37,-1.59,0.06,0.2,-0.99
1,0,651,4.26,1.34,-1.55,0.01,0.63,-0.16
1,0,663,5.15,2.14,-1.54,-0.06,0.88,0.31
1,0,671,6.3,2.62,-1.41,-0.1,0.9,0.49
1,0,682,6.96,2.66,-1.33,-0.11,0.79,0.46
1,0,691,7.37,2.73,-1.3,-0.09,0.61,0.31
1,0,701,7.84,2.49,-1.25,-0.07,0.32,0.16
1,0,714,8.17,2.38,-1.19,-0.03,0.12,0.04
1,0,722,8.51,2.33,-1.11,0,0,-0.05
1,0,732,8.73,2.26,-0.88,0.01,-0.08,-0.07
1,0,741,8.81,2.14,-0.76,-0.01,-0.07,-0.07
1,0,751,9.11,2.14,-0.73,-0.01,-0.13,-0.05
1,0,761,9.46,2.3,-0.71,0.01,-0.13,-0.05
1,0,775,9.62,2.1,-0.87,0.01,-0.05,-0.08
1,0,782,9.42,1.82,-0.79,0.01,-0.04,-0.13
1,0,793,9.67,1.95,-0.69,0.02,0.01,-0.16
1,0,801,9.74,2.02,-0.73,0.06,0.11,-0.16
1,1,0,7.97,2.22,0.33,-0.05,0.1,0.38
1,1,11,8.44,2.69,0.62,0.05,0.05,0.43
1,1,20,8.65,2.57,0.47,0.18,-0.06,0.41
1,1,30,8.98,2.83,0.43,0.3,-0.26,0.36
1,1,40,9.54,2.95,-0.16,0.35,-0.48,0.28
1,1,50,9.7,2.95,-0.3,0.3,-0.58,0.18
1,1,59,9.69,2.84,-0.39,0.19,-0.59,0.09
1,1,69,9.74,2.92,-0.54,0.08,-0.6,0.02
1,1,79,9.79,2.63,-0.52,0.01,-0.52,-0.03
1,1,90,9.83,2.62,-0.53,-0.01,-0.43,-0.06
1,1,99,9.86,2.67,-0.38,0.01,-0.35,-0.08
1,1,109,9.9,2.67,-0.32,0.03,-0.32,-0.1
1,1,121,9.87,2.64,-0.37,0.04,-0.31,-0.13
1,1,130,9.83,2.5,-0.39,0.04,-0.19,-0.14
1,1,139,9.64,2.63,-0.64,0.01,-0.08,-0.12
1,1,149,9.3,2.56,-0.63,-0.03,0.01,-0.07
1,1,160,9.01,2.74,-0.7,-0.06,0.14,0
1,1,171,8.51,2.75,-0.91,-0.09,0.15,0.07
1,1,182,8.12,2.83,-0.89,-0.12,0.14,0.15
1,1,192,7.72,2.77,-1.02,-0.15,0.14,0.24
1,1,199,6.85,2.55,-0.97,-0.15,0.24,0.36
1,1,209,5.59,2.4,-1.25,-0.15,0.36,0.54
1,1,219,4.17,2.15,-1.38,-0.2,0.58,0.84
1,1,230,2.51,1.76,-1.96,-0.31,0.86,1.26
1,1,241,0.89,1.21,-2.63,-0.52,1.14,1.83
1,1,250,-0.05,0.59,-3.2,-0.8,1.3,2.45
1,1,260,-0.78,0.02,-3.06,-1.11,1.36,3
1,1,269,-0.59,-0.74,-2.45,-1.4,1.35,3.47
1,1,279,0.08,-1.3,-1.5,-1.63,1.33,3.91
1,1,290,0.9,-2.13,-0.64,-1.74,1.21,4.26
1,1,300,2.63,-3.33,-0.01,-1.72,0.83,4.37
1,1,310,5.83,-4.25,0.56,-1.6,0.36,4.37
1,1,320,9.97,-4.87,1.38,-1.39,0.2,4.37
1,1,330,14.36,-5.52,2.15,-1.17,0.07,4.37
1,1,340,18.74,-5.49,3.07,-0.91,0.01,4.37
1,1,349,19.61,-5.57,3.67,-0.63,-0.16,3.55
1,1,362,19.61,-5.32,3.98,-0.31,-0.58,2.32
1,1,370,19.61,-5.07,4.35,-0.07,-1.07,1
1,1,382,19.61,-4.85,4.44,0.09,-1.41,-0.21
1,1,389,19.61,-4.63,4.15,0.22,-1.53,-1.09
1,1,400,19.61,-4.26,3.95,0.35,-1.5,-1.72
1,1,410,19.61,-3.66,3.6,0.46,-1.28,-2.19
1,1,422,19.61,-3.13,3,0.56,-1.04,-2.58
1,1,429,19.61,-2.58,2.51,0.61,-0.79,-2.9
1,1,440,17.88,-2.34,1.71,0.61,-0.57,-3.1
1,1,450,15.67,-2.24,1.06,0.6,-0.46,-3.21
1,1,460,13.56,-2.02,0.53,0.57,-0.44,-3.28
1,1,470,12.18,-1.63,-0.1,0.54,-0.58,-3.35
1,1,480,11.12,-1.38,-0.06,0.48,-0.68,-3.39
1,1,490,9.94,-1.14,-0.23,0.39,-0.69,-3.37
1,1,499,8.9,-0.91,-0.44,0.33,-0.71,-3.28
1,1,509,8.09,-0.62,-0.31,0.3,-0.66,-3.12
1,1,520,7.42,-0.38,-0.2,0.3,-0.61,-2.89
1,1,531,6.76,0,0.03,0.32,-0.48,-2.63
1,1,540,6.3,0.28,-0.19,0.38,-0.3,-2.29
1,1,550,5.81,0.53,-0.54,0.45,-0.16,-1.93
1,1,559,5.55,1,-0.86,0.5,-0.04,-1.6
1,1,570,5.54,1.33,-1.19,0.49,0.11,-1.27
1,1,579,5.48,1.52,-1.46,0.41,0.26,-0.97
1,1,592,5.51,1.88,-1.56,0.32,0.34,-0.7
1,1,602,5.8,2.19,-1.69,0.24,0.41,-0.48
1,1,611,5.88,2.4,-1.6,0.17,0.42,-0.32
1,1,619,6.15,2.51,-1.47,0.12,0.34,-0.21
1,1,629,6.52,2.64,-1.32,0.1,0.28,-0.12
1,1,639,6.72,2.59,-1.2,0.1,0.21,-0.04
1,1,651,6.99,2.58,-1.28,0.12,0.11,0.04
1,1,660,7.38,2.58,-1.03,0.14,0.07,0.1
1,1,670,7.75,2.55,-0.95,0.13,0.15,0.18
1,1,680,7.93,2.46,-1.21,0.09,0.27,0.29
1,1,690,8.2,2.49,-1.48,0.04,0.35,0.41
1,1,700,8.46,2.48,-1.39,-0.04,0.41,0.48
1,1,710,8.82,2.58,-1.38,-0.12,0.42,0.5
1,1,721,9.03,2.6,-1.28,-0.17,0.36,0.47
1,1,730,9.36,2.49,-1,-0.19,0.23,0.39
1,1,739,9.73,2.42,-0.76,-0.2,0.12,0.27
1,1,749,9.96,2.35,-0.4,-0.17,-0.02,0.12
1,1,760,9.98,2.28,-0.43,-0.13,-0.06,-0.03
1,1,770,9.96,2.18,-0.53,-0.09,-0.11,-0.12
1,1,780,9.96,2.29,-0.74,-0.08,-0.09,-0.14
1,1,789,10.08,2.23,-1.03,-0.14,0.05,-0.13
1,2,0,9.92,0.99,0.26,-0.11,-0.07,-0.18
1,2,10,9.75,1.28,0.52,-0.01,-0.09,-0.14
1,2,18,9.72,1.2,0.6,0.09,-0.08,-0.11
1,2,28,9.84,1.36,0.49,0.18,-0.05,-0.07
1,2,39,10.02,1.62,0.57,0.25,-0.06,-0.01
1,2,48,9.82,1.42,0.26,0.31,-0.11,0.02
1,2,58,9.86,1.48,-0.02,0.35,-0.06,0.02
1,2,68,10.09,1.63,-0.23,0.34,-0.05,0.04
1,2,78,10.04,1.63,-0.37,0.27,-0.02,0.03
1,2,88,10.15,1.75,-0.75,0.17,-0.02,0.01
1,2,98,10.13,1.83,-0.79,0.06,-0.03,-0.04
1,2,108,10.1,1.85,-0.5,0.01,-0.09,-0.12
1,2,118,10.03,1.94,-0.55,0,-0.19,-0.18
1,2,128,9.86,1.93,-0.44,0,-0.25,-0.22
1,2,138,9.64,2,-0.62,-0.01,-0.2,-0.21
1,2,150,9.25,2.01,-0.85,-0.06,-0.16,-0.17
1,2,159,8.58,1.9,-0.82,-0.15,-0.02,-0.11
1,2,168,7.69,1.57,-0.77,-0.26,0.17,0.02
1,2,178,6.52,1.2,-0.49,-0.36,0.48,0.34
1,2,190,5.43,0.5,-0.52,-0.44,0.88,0.87
1,2,199,3.99,-0.13,-0.65,-0.48,1.41,1.56
1,2,208,2.87,-0.55,-0.96,-0.49,1.78,2.25
1,2,221,1.93,-0.87,-1.03,-0.58,2.06,2.9
1,2,228,1.95,-1.2,-1.14,-0.75,2.2,3.51
1,2,239,2.24,-1.75,-0.47,-0.96,2.32,4.11
