tag,id,time,Ax,Ay,Az,gx,gy,gz
1,0,0,9.77,2.03,1.34,-0.16,0.2,0.28
1,0,10,9.66,1.71,1.65,-0.1,0.12,0.21
1,0,23,9.8,1.5,1.64,-0.05,0.02,0.14
1,0,30,9.78,1.36,1.68,0,0,0.09
1,0,42,9.78,1.4,1.98,0.01,0.07,0.07
1,0,50,9.8,1.3,1.8,-0.02,0.1,0.1
1,0,60,9.79,1.19,1.88,-0.08,0.21,0.18
1,0,70,9.63,1.23,1.87,-0.14,0.3,0.28
1,0,82,9.71,1.35,2.2,-0.17,0.26,0.35
1,0,90,9.71,1.24,2.26,-0.17,0.21,0.36
1,0,101,9.74,1.32,2.5,-0.14,0.25,0.31
1,0,112,9.76,1.28,2.69,-0.1,0.21,0.27
1,0,120,9.84,1.18,3.11,-0.06,0.19,0.27
1,0,130,9.46,0.83,3.28,0.01,0.23,0.32
1,0,142,9.19,0.6,4.3,0.13,0.25,0.38
1,0,150,9,-0.07,5.06,0.24,0.22,0.46
1,0,160,9.21,-0.79,6.2,0.34,0.22,0.53
1,0,170,9.68,-1.4,7.3,0.41,0.27,0.63
1,0,180,10.15,-2.31,8.32,0.53,0.39,0.74
1,0,190,10.34,-3.08,9.74,0.74,0.41,0.79
1,0,200,10.36,-4.06,10.77,1.09,0.42,0.73
1,0,210,10.09,-4.34,12.31,1.6,0.47,0.55
1,0,222,9.55,-5.32,12.67,2.16,0.37,0.35
1,0,230,8.83,-6.16,12.58,2.8,0.2,0.2
1,0,240,8.21,-6.42,11.76,3.44,0,0.2
1,0,251,8.02,-6.94,10.45,4.05,-0.24,0.3
1,0,261,7.95,-6.52,8.76,4.37,-0.33,0.41
1,0,271,7.92,-6.21,6.6,4.37,-0.37,0.49
1,0,280,8.15,-5.62,4.05,4.37,-0.59,0.5
1,0,290,8.56,-4.75,1.2,4.37,-0.74,0.49
1,0,300,8.81,-3.96,-0.74,4.37,-0.72,0.5
1,0,310,9.17,-3.26,-3.45,4.37,-0.64,0.52
1,0,320,9.82,-1.79,-6.97,4.37,-0.53,0.58
1,0,330,10.08,0.17,-9.98,4.37,-0.54,0.58
1,0,340,10.45,2.12,-12.46,4.37,-0.67,0.47
1,0,353,11,3.68,-13.96,3.69,-0.6,0.4
1,0,360,11.17,4.68,-15.28,2.99,-0.37,0.45
1,0,370,11.3,5.85,-16.77,2.36,0.01,0.63
1,0,380,11.33,6.36,-18.14,1.77,0.36,0.84
1,0,390,11.38,7.39,-18.93,1.12,0.54,0.99
1,0,402,11.67,7.89,-19.4,0.38,0.56,0.99
1,0,410,12.07,8.42,-19.61,-0.45,0.37,0.83
1,0,421,11.88,8.16,-19.57,-1.31,0.08,0.48
1,0,430,11.84,7.45,-18.85,-2.17,-0.35,0.07
1,0,440,11.89,6.12,-17.17,-2.94,-0.59,-0.29
1,0,451,11.7,4.54,-15.42,-3.64,-0.74,-0.51
1,0,460,11.36,2.86,-13.69,-4.2,-0.73,-0.57
1,0,470,11.17,1.35,-11.73,-4.37,-0.56,-0.47
1,0,480,10.67,-0.04,-9.63,-4.37,-0.28,-0.27
1,0,490,10.36,-1.09,-7.32,-4.37,-0.03,-0.05
1,0,505,10.13,-2.48,-4.76,-4.37,0.2,0.15
1,0,510,10.33,-3.91,-1.55,-4.37,0.34,0.22
1,0,521,10.75,-4.23,1.68,-4.37,0.3,0.08
1,0,530,10.93,-5.02,4.27,-4.37,0.15,-0.23
1,0,540,10.79,-5.47,6.28,-4.37,-0.16,-0.55
1,0,550,10.1,-5.71,7.24,-4.07,-0.55,-0.8
1,0,560,9.66,-5.64,7.97,-3.53,-0.84,-0.93
1,0,570,9.22,-5.52,8.05,-3.08,-0.98,-0.9
1,0,580,8.74,-5.6,8.23,-2.7,-1,-0.74
1,0,590,8.67,-5.27,7.86,-2.33,-0.86,-0.45
1,0,600,8.99,-4.89,7.4,-2.01,-0.47,-0.11
1,0,610,9.03,-4.58,6.88,-1.74,0,0.27
1,0,620,8.91,-3.92,6.47,-1.51,0.37,0.6
1,0,632,9,-3.33,5.99,-1.29,0.68,0.84
1,0,640,9.16,-2.59,5.52,-1.07,0.8,0.96
1,0,650,9.26,-2.05,4.81,-0.85,0.63,0.96
1,0,660,9.38,-1.64,4.06,-0.66,0.3,0.85
1,0,671,9.72,-1.13,3.55,-0.53,0.01,0.68
1,0,680,10.03,-0.95,3.01,-0.48,-0.17,0.52
1,0,690,10.07,-0.69,2.51,-0.46,-0.23,0.38
1,0,700,10.03,-0.54,2.35,-0.49,-0.21,0.31
1,0,710,9.91,-0.51,2.39,-0.53,-0.25,0.29
1,0,721,9.99,-0.27,2.46,-0.53,-0.2,0.31
1,0,730,9.74,-0.41,2.37,-0.46,-0.21,0.35
1,1,0,9.8,0.22,1.14,0.34,0.19,-0.14
1,1,15,9.62,0.11,1.26,0.31,0.04,-0.11
1,1,20,9.49,-0.25,1.34,0.26,0.14,-0.03
1,1,30,9.79,0.43,1.69,0.22,0.27,0.1
1,1,40,9.69,0.42,1.67,0.23,0.38,0.24
1,1,50,9.59,0.43,1.67,0.25,0.45,0.35
1,1,60,9.55,0.74,1.72,0.27,0.46,0.44
1,1,70,9.74,0.71,1.42,0.28,0.31,0.5
1,1,80,9.99,0.77,0.78,0.21,0.35,0.56
1,1,90,9.9,0.79,0.56,0.07,0.42,0.57
1,1,100,9.84,0.93,0.72,-0.14,0.32,0.54
1,1,111,9.87,0.78,0.76,-0.29,0.21,0.45
1,1,120,9.94,0.83,1.18,-0.35,0.1,0.33
1,1,131,10.13,0.39,1.68,-0.36,0.03,0.22
1,1,140,10.37,0.57,2.14,-0.3,-0.01,0.15
1,1,150,10.48,0.28,2.65,-0.21,-0.06,0.13
1,1,160,10.67,-0.23,3.17,-0.09,-0.05,0.13
1,1,170,10.82,-0.76,3.98,0.05,-0.1,0.15
1,1,180,11.03,-1.74,4.5,0.21,-0.11,0.16
1,1,190,11.65,-2.71,5.54,0.42,-0.2,0.15
1,1,200,12.18,-3.57,6.53,0.68,-0.26,0.12
