tag,id,time,Ax,Ay,Az,gx,gy,gz
1,0,0,11.09,-0.51,0.41,0.27,-0.55,-0.08
1,0,10,10.97,-0.49,0.55,0.23,-0.58,-0.12
1,0,20,10.93,-0.4,0.44,0.15,-0.42,-0.05
1,0,30,10.78,-0.74,0.31,0.04,-0.35,0.09
1,0,40,10.45,-0.75,0.29,-0.05,-0.24,0.21
1,0,50,10.44,-0.79,0.14,-0.07,-0.06,0.29
1,0,60,10.79,-0.66,0.22,-0.1,0.02,0.38
1,0,71,10.76,-0.8,0.13,-0.17,-0.08,0.45
1,0,80,10.81,-0.61,0.07,-0.22,-0.04,0.47
1,0,90,11.1,-0.88,0.14,-0.24,0.05,0.43
1,0,100,11.43,-0.66,0.52,-0.21,0,0.38
1,0,110,11.97,-0.56,0.74,-0.16,-0.13,0.31
1,0,124,12.91,-0.23,0.7,-0.11,-0.27,0.25
1,0,131,14.58,-0.11,0.56,-0.08,-0.4,0.21
1,0,141,16.72,0.34,0.46,-0.08,-0.39,0.17
1,0,151,18.78,0.88,0.34,-0.11,-0.22,0.07
1,0,161,19.61,0.9,0.05,-0.19,-0.12,-0.16
1,0,171,19.61,1.03,0.45,-0.21,-0.09,-0.52
1,0,181,19.61,0.87,0.92,-0.14,-0.33,-1.08
1,0,192,19.61,0.73,1.08,0,-0.57,-1.85
1,0,201,19.61,-0.35,0.69,0.15,-0.93,-2.77
1,0,211,19.61,-0.55,0.85,0.26,-1.32,-3.7
1,0,221,19.61,-1.09,0.58,0.28,-1.72,-4.37
1,0,231,19.61,-1.67,0.38,0.19,-1.98,-4.37
1,0,241,19.61,-1.95,-0.12,0.04,-2.12,-4.37
1,0,251,17.57,-2.49,-0.15,-0.12,-2.07,-4.37
1,0,263,15.29,-2.81,-0.17,-0.26,-1.85,-4.37
1,0,271,12.86,-2.96,-0.5,-0.33,-1.41,-4.37
1,0,281,10.29,-2.85,-0.98,-0.34,-1.05,-4.37
1,0,291,7.79,-2.34,-1.79,-0.38,-0.73,-4.37
1,0,302,5.33,-2.55,-2.39,-0.53,-0.49,-4.37
1,0,312,3.01,-2.47,-2.75,-0.73,-0.52,-4.37
1,0,321,1.1,-2.06,-2.76,-0.93,-0.52,-4.12
1,0,331,-0.58,-1.77,-2.43,-1.07,-0.44,-3.66
1,0,341,-2.22,-1.52,-1.86,-1.11,-0.28,-3.14
1,0,351,-3.85,-1.16,-1.66,-1.07,-0.14,-2.55
1,0,361,-5.35,-1.09,-1.57,-1,0.02,-1.89
1,0,372,-6.69,-0.96,-1.09,-0.96,0.31,-1.16
1,0,381,-7.95,-1.25,-1.02,-0.92,0.58,-0.33
1,0,391,-8.84,-1.34,-1.19,-0.85,0.63,0.55
1,0,401,-9.37,-1.62,-1.29,-0.71,0.47,1.33
1,0,411,-9.18,-1.7,-1.36,-0.56,0.26,2
1,0,421,-8.11,-1.91,-1.27,-0.44,0.17,2.65
1,0,433,-7.44,-2.29,-1.37,-0.42,0.23,3.25
1,0,441,-6.53,-2.57,-1.8,-0.47,0.18,3.83
1,0,451,-5.4,-3.1,-1.76,-0.57,0.09,4.34
1,0,462,-3.76,-3.52,-1.47,-0.68,-0.03,4.37
