tag,id,time,Ax,Ay,Az,gx,gy,gz
1,0,0,8.5,-0.24,-0.98,0.03,0.18,1.04
1,0,10,9.05,-0.04,-0.65,0.04,0.24,0.97
1,0,22,9.65,-0.08,-0.35,0.09,0.35,0.93
1,0,30,9.9,-0.14,-0.18,0.15,0.41,0.95
1,0,42,10.35,-0.02,-0.26,0.17,0.35,0.95
1,0,50,10.32,-0.04,-0.31,0.12,0.26,0.91
1,0,62,10.44,-0.06,-0.51,0,0.08,0.82
1,0,72,10.73,0.18,-0.27,-0.14,-0.09,0.7
1,0,80,10.79,0.43,0.02,-0.27,-0.23,0.64
1,0,90,10.97,0,0.48,-0.36,-0.45,0.62
1,0,100,11.06,-0.03,0.77,-0.35,-0.63,0.61
1,0,110,11.56,-0.07,1.34,-0.25,-0.79,0.57
1,0,123,12.28,-0.27,1.52,-0.09,-0.89,0.51
1,0,130,12.98,-0.15,1.74,0.05,-0.85,0.43
1,0,140,13.78,0.07,1.53,0.14,-0.73,0.34
1,0,151,14.39,0.1,1.19,0.19,-0.63,0.28
1,0,163,15.35,0.26,0.89,0.18,-0.69,0.21
1,0,170,16.13,0.23,0.33,0.2,-0.78,0.03
1,0,181,17.65,0.87,0.1,0.22,-0.62,-0.21
1,0,191,18.38,0.92,-0.45,0.17,-0.67,-0.55
1,0,200,19.1,1.02,-0.73,0.09,-0.79,-1.02
1,0,212,19.36,1.38,-0.98,0.05,-0.99,-1.59
1,0,221,19.21,1.35,-1.45,0.02,-1.32,-2.22
1,0,230,18.82,1.2,-2.12,-0.03,-1.78,-2.83
1,0,240,18.23,1.31,-2.51,-0.12,-2.22,-3.48
1,0,252,17.36,1.21,-3.03,-0.26,-2.7,-4.09
1,0,265,16.47,1.13,-3.64,-0.43,-3.23,-4.37
1,0,270,15.57,1.07,-4.34,-0.63,-3.72,-4.37
1,0,281,14.5,1.13,-4.77,-0.82,-4.08,-4.37
1,0,290,13.25,1.34,-5.44,-1.02,-4.37,-4.37
1,0,300,11.82,1.56,-6.23,-1.25,-4.37,-4.37
1,0,310,10.28,1.4,-6.53,-1.54,-4.37,-4.37
1,0,320,8.5,1.19,-6.85,-1.9,-3.93,-4.37
1,0,330,6.99,0.62,-6.58,-2.26,-3.29,-4.37
1,0,342,5.41,0.81,-6.37,-2.53,-2.68,-4.15
1,0,350,4.18,0.75,-6.22,-2.69,-2.2,-3.47
1,0,360,3.05,1.11,-6.29,-2.81,-1.79,-2.79
1,0,370,2.03,1.03,-6.27,-2.96,-1.35,-2.13
1,0,380,1.49,1.16,-6.02,-3.12,-0.9,-1.48
1,0,390,0.78,1.2,-5.26,-3.25,-0.43,-0.89
1,0,402,0.14,1.11,-4.18,-3.31,-0.06,-0.35
1,0,411,-0.34,1.13,-3.24,-3.3,0.13,0.12
1,0,420,-0.44,1.32,-2.23,-3.23,0.22,0.53
1,0,430,-0.56,1.39,-1.35,-3.18,0.26,0.92
1,0,440,-0.62,1.07,-0.44,-3.17,0.43,1.32
1,0,450,-0.4,0.96,0.74,-3.13,0.62,1.75
1,0,460,-0.24,1.11,2.06,-2.99,0.73,2.18
1,0,473,0.38,0.91,3.35,-2.79,0.78,2.58
1,0,480,0.8,0.26,4.47,-2.59,0.81,2.98
1,0,490,1.75,0.31,6.01,-2.38,0.9,3.29
1,0,502,2.75,-0.38,7.24,-2.12,1.01,3.51
