tag,id,time,Ax,Ay,Az,gx,gy,gz
1,0,0,6.25,3.26,-1.6,0.61,-0.33,0.07
1,0,12,7.34,3.7,-1.92,0.46,-0.38,0.19
1,0,21,8.2,3.81,-2.33,0.25,0.04,0.26
1,0,30,8.2,4.13,-2.53,0.04,0.28,0.24
1,0,40,8.54,4.35,-2.49,-0.14,0.24,0.21
1,0,50,8.74,3.92,-2.42,-0.25,0.11,0.16
1,0,60,9.25,3.8,-1.81,-0.27,0.21,0.08
1,0,70,9.38,4.03,-1.53,-0.25,0.22,-0.02
1,0,82,9.32,3.93,-1.13,-0.17,0.22,-0.09
1,0,90,9.22,4.13,-1.06,-0.09,0.14,-0.13
1,0,100,9.11,4.15,-0.99,-0.05,0.13,-0.12
1,0,110,8.96,4.16,-0.86,-0.04,0.19,-0.05
1,0,121,8.4,4.1,-0.99,-0.07,0.27,0.08
1,0,130,7.94,3.88,-0.97,-0.09,0.29,0.22
1,0,140,7.51,3.62,-1.1,-0.09,0.22,0.37
1,0,150,7.17,3.3,-1.08,-0.11,0.31,0.5
1,0,160,6.75,3.03,-0.93,-0.15,0.52,0.69
1,0,170,6.01,2.6,-0.9,-0.17,0.75,0.94
1,0,181,5.44,2.24,-0.68,-0.16,0.92,1.22
1,0,190,4.8,1.97,-0.68,-0.14,1.03,1.52
1,0,201,4.15,1.43,-0.81,-0.12,1.03,1.76
1,0,210,3.52,0.91,-0.81,-0.11,1.01,1.94
1,0,221,3.04,0.3,-0.88,-0.08,0.83,2.07
1,0,230,2.5,-0.02,-0.87,-0.02,0.54,2.2
1,0,240,2.47,-0.39,-1.08,0.05,0.27,2.4
1,0,251,2.95,-0.71,-1.46,0.16,0,2.69
1,0,260,3.82,-0.82,-1.5,0.25,-0.08,3.01
1,0,270,4.63,-1.15,-1.84,0.28,0.12,3.33
1,0,281,5.46,-1.13,-2.28,0.21,0.33,3.64
1,0,290,6.46,-1.09,-2.72,0.09,0.44,3.9
1,0,303,7.87,-0.93,-2.83,-0.06,0.41,4.05
1,0,310,9.43,-0.89,-2.76,-0.17,0.3,4.09
1,0,320,11.35,-0.9,-2.34,-0.26,0.15,4
1,0,330,13.37,-0.99,-2.07,-0.29,0.01,3.83
1,0,340,15.39,-0.91,-1.92,-0.31,-0.08,3.63
1,0,353,17.39,-0.74,-1.8,-0.37,0.02,3.41
1,0,360,19.1,-0.53,-1.73,-0.49,0.12,3.11
1,0,370,19.61,-0.49,-1.6,-0.65,0.19,2.73
1,0,381,19.61,-0.36,-1.21,-0.77,0.17,2.29
1,0,392,19.61,-0.28,-0.68,-0.85,0.12,1.81
1,0,402,19.61,-0.35,-0.11,-0.87,0.07,1.26
1,0,410,19.61,-0.42,0.19,-0.84,-0.08,0.64
1,0,422,19.61,-0.46,0.58,-0.78,-0.26,-0.07
1,0,431,19.61,-0.68,1.06,-0.72,-0.39,-0.82
1,0,442,19.61,-0.69,1.02,-0.66,-0.64,-1.6
1,0,450,19.61,-0.91,0.95,-0.6,-0.95,-2.31
1,0,460,19.61,-1.16,0.82,-0.56,-1.24,-2.94
1,0,470,19.61,-1.37,0.48,-0.55,-1.5,-3.49
1,0,481,19.61,-1.52,0.47,-0.58,-1.63,-3.94
1,0,490,18.19,-1.67,0.05,-0.64,-1.7,-4.31
1,0,503,16.7,-1.81,-0.02,-0.69,-1.81,-4.37
1,0,513,15.38,-1.65,-0.1,-0.69,-1.97,-4.37
1,0,524,13.82,-1.47,-0.3,-0.64,-2.1,-4.37
1,0,532,12.43,-1.26,-0.53,-0.55,-2.28,-4.37
1,0,540,11.01,-0.94,-1.09,-0.51,-2.39,-4.37
1,0,550,9.36,-0.62,-1.51,-0.55,-2.42,-4.37
1,0,560,7.72,-0.54,-1.87,-0.65,-2.43,-4.37
1,0,570,6.19,-0.23,-2.17,-0.73,-2.34,-4.37
1,0,581,4.9,-0.1,-2.01,-0.77,-2.2,-4.37
1,0,590,3.8,0.22,-1.87,-0.78,-1.95,-4.12
1,0,600,2.75,0.34,-1.52,-0.76,-1.64,-3.62
1,0,610,1.88,0.54,-1.42,-0.7,-1.29,-3.1
1,0,621,1.25,0.82,-1.41,-0.6,-0.96,-2.55
1,0,630,0.69,1.01,-1.39,-0.49,-0.65,-2
1,0,640,0.38,1.36,-1.5,-0.39,-0.46,-1.51
1,0,651,0.14,1.74,-1.56,-0.27,-0.32,-1.11
1,0,660,0.07,1.82,-1.63,-0.16,-0.21,-0.75
1,0,672,-0.18,1.79,-1.78,-0.07,-0.13,-0.43
1,0,680,-0.43,1.63,-1.94,0,0,-0.08
1,0,691,-0.84,1.44,-1.94,0.02,0.1,0.3
1,0,700,-1.09,1.03,-1.92,0.02,0.35,0.73
1,0,710,-1.3,0.73,-1.85,0.05,0.51,1.23
1,0,722,-1.32,0.51,-1.73,0.12,0.59,1.71
1,0,731,-1.23,0.29,-1.39,0.24,0.71,2.17
1,0,740,-1.11,0.03,-1.35,0.36,0.99,2.7
1,0,751,-0.77,-0.51,-1.98,0.46,1.35,3.34
1,0,760,-0.5,-0.85,-2.62,0.47,1.62,4.03
1,0,770,0.39,-1.24,-3.62,0.4,1.63,4.37
1,0,780,1.73,-1.34,-4.29,0.28,1.51,4.37
1,0,792,3.45,-1.27,-4.54,0.13,1.42,4.37
1,0,800,5.25,-1.54,-4.43,-0.03,1.37,4.37
1,0,811,7.09,-1.64,-4.29,-0.15,1.27,4.37
1,0,820,9.14,-1.68,-4.27,-0.22,1.16,4.37
1,0,833,11.23,-1.77,-4.05,-0.28,1.13,4.37
1,0,840,13.52,-1.84,-4.02,-0.37,1.08,4.37
1,0,852,16.2,-1.67,-4.01,-0.48,1.07,4.37
1,0,860,18.59,-1.46,-4.02,-0.64,1.13,4.37
1,0,870,19.61,-1.35,-3.63,-0.89,1.23,4.32
1,0,881,19.61,-1.24,-2.98,-1.14,1.25,3.82
1,0,895,19.61,-1.12,-2.3,-1.3,1.19,3.26
1,0,900,19.61,-1.07,-1.5,-1.34,1.04,2.65
1,0,911,19.61,-1.05,-0.75,-1.3,0.9,1.97
1,0,920,19.61,-0.95,-0.4,-1.22,0.74,1.24
1,0,933,19.61,-0.98,-0.36,-1.14,0.56,0.46
1,0,940,19.61,-0.91,-0.29,-1.05,0.34,-0.29
1,0,950,19.61,-0.88,-0.2,-0.97,0.12,-0.97
1,0,961,19.61,-1.05,-0.27,-0.91,-0.07,-1.58
1,0,970,19.61,-1.17,-0.41,-0.89,-0.17,-2.07
1,0,981,19.61,-1.31,-0.44,-0.9,-0.28,-2.49
1,0,990,18.92,-1.47,-0.41,-0.9,-0.39,-2.81
1,0,1000,17.93,-1.49,-0.37,-0.89,-0.46,-3.08
1,0,1010,16.66,-1.39,-0.19,-0.85,-0.52,-3.33
1,0,1022,15.4,-1.3,-0.17,-0.78,-0.68,-3.55
1,0,1031,14.37,-1.17,-0.46,-0.69,-0.91,-3.74
1,0,1040,13.37,-1,-0.76,-0.63,-1.1,-3.87
1,0,1051,12.36,-0.68,-1.05,-0.61,-1.25,-3.96
1,0,1060,11.15,-0.65,-1.18,-0.63,-1.38,-4
1,0,1070,9.96,-0.49,-1.3,-0.67,-1.55,-3.98
1,0,1080,8.61,-0.3,-1.55,-0.73,-1.72,-3.91
1,0,1091,7.48,-0.19,-1.69,-0.81,-1.82,-3.76
1,0,1100,6.59,0.23,-1.77,-0.92,-1.85,-3.51
1,0,1111,6.05,0.4,-1.53,-1.04,-1.67,-3.19
1,0,1123,5.47,0.59,-1.07,-1.13,-1.25,-2.8
1,0,1130,4.95,0.72,-0.53,-1.12,-0.78,-2.39
1,0,1140,4.46,0.83,-0.18,-1.01,-0.35,-1.93
1,0,1150,3.87,1.04,-0.21,-0.82,-0.05,-1.47
1,0,1160,3.74,1.53,-0.2,-0.59,0.09,-1.06
1,0,1171,3.75,1.84,-0.5,-0.39,0.17,-0.71
1,0,1181,3.98,2.21,-0.87,-0.25,0.23,-0.44
1,0,1192,4.61,2.55,-1.33,-0.17,0.27,-0.23
1,0,1200,4.94,2.78,-1.63,-0.15,0.36,-0.12
1,0,1210,5.22,2.97,-1.89,-0.17,0.36,-0.06
1,0,1221,5.54,3.24,-2.06,-0.19,0.29,-0.04
1,0,1230,5.87,3.28,-1.99,-0.19,0.24,-0.04
1,0,1241,6.09,3.32,-1.83,-0.17,0.16,-0.02
1,0,1251,6.38,3.46,-1.84,-0.14,0.06,0
1,0,1260,6.76,3.5,-1.87,-0.09,0.02,0.04
1,0,1270,7.05,3.56,-1.89,-0.05,0.02,0.1
1,0,1280,7.14,3.52,-2.13,-0.03,0.04,0.17
1,0,1290,7.41,3.53,-2.37,-0.04,0,0.25
1,0,1302,7.9,3.76,-2.44,-0.08,0.01,0.32
1,0,1310,8.16,3.74,-2.41,-0.13,0.08,0.37
1,0,1321,8.53,3.9,-2.3,-0.17,0.09,0.39
1,0,1330,8.68,3.93,-2.16,-0.18,0.09,0.38
1,0,1343,8.81,3.85,-2.2,-0.16,0.04,0.36
1,0,1350,8.95,3.81,-2.06,-0.13,-0.08,0.32
1,1,0,8.76,3.27,-2.19,0.36,1.16,0.54
1,1,7,9.21,3.19,-2.02,0.23,0.86,0.43
1,1,17,9.76,3.02,-1.84,0.08,0.48,0.31
1,1,27,9.81,3.13,-1.63,-0.02,0.22,0.14
1,1,38,10.04,3.07,-1.25,-0.05,0,-0.02
1,1,47,9.88,2.93,-0.95,-0.03,-0.18,-0.16
1,1,58,9.78,2.83,-0.77,0,-0.22,-0.23
1,1,68,9.52,2.76,-0.78,0.03,-0.26,-0.22
1,1,78,9.34,2.69,-0.91,0.03,-0.22,-0.15
1,1,87,9.22,2.77,-0.78,-0.03,-0.05,-0.01
1,1,97,8.97,2.62,-1.07,-0.13,0.2,0.19
1,1,107,8.85,2.54,-1.12,-0.22,0.4,0.39
1,1,117,8.54,2.53,-0.87,-0.28,0.59,0.56
1,1,127,8.26,2.28,-0.76,-0.32,0.79,0.69
1,1,141,7.86,2.14,-0.51,-0.36,1.03,0.85
1,1,148,7.03,1.66,-0.63,-0.41,1.38,1.12
1,1,160,6.39,1.44,-0.92,-0.45,1.54,1.44
