tag,id,time,Ax,Ay,Az,gx,gy,gz
1,0,0,5.5,2.95,-0.01,-0.04,0.16,0.8
1,0,10,6.28,3.18,0.17,-0.02,0.11,0.82
1,0,20,7.15,3.93,-0.11,0.03,-0.08,0.76
1,0,31,7.79,3.55,-0.4,0.06,-0.18,0.61
1,0,41,8.36,4.02,-0.42,0.02,-0.09,0.4
1,0,49,8.89,4.46,-0.4,-0.05,-0.05,0.18
1,0,60,9.13,4.42,-0.54,-0.11,-0.15,0
1,0,69,9.17,4.53,-0.55,-0.16,-0.11,-0.15
1,0,79,9.2,4.51,-0.49,-0.21,-0.01,-0.27
1,0,90,8.78,5.06,-0.03,-0.29,0.08,-0.34
1,0,99,8.76,4.89,0.44,-0.39,-0.09,-0.33
1,0,110,8.15,4.5,0.79,-0.42,-0.05,-0.29
1,0,119,7.67,3.98,1.52,-0.4,-0.02,-0.24
1,0,134,7.02,3.8,1.98,-0.32,0.02,-0.15
1,0,139,6.52,2.65,2.61,-0.22,0.04,-0.02
1,0,149,5.79,2.32,3.52,-0.08,0.27,0.1
1,0,159,4.98,1.8,4.1,0.08,0.35,0.25
1,0,169,4.43,1.43,4.74,0.3,0.36,0.43
1,0,179,3.88,1.02,5.21,0.51,0.32,0.59
1,0,189,3.58,0.28,5.72,0.77,0.15,0.72
1,0,199,3.47,-0.18,6.25,1.09,-0.05,0.8
1,0,209,3.44,-0.9,6.75,1.49,-0.29,0.83
1,0,219,3.67,-1.18,6.9,2,-0.59,0.86
1,0,229,4.13,-1.57,6.9,2.61,-0.89,0.91
1,0,239,4.99,-1.79,6.05,3.21,-1.12,1.03
1,0,249,6.34,-1.9,4.57,3.69,-1.11,1.19
1,0,260,7.57,-1.3,2.05,3.97,-0.9,1.38
1,0,269,8.22,-0.82,-0.49,3.94,-0.62,1.53
1,0,279,9.07,0.39,-3.43,3.68,-0.39,1.63
1,0,289,9.58,1.39,-5.8,3.32,-0.3,1.65
