tag,id,time,Ax,Ay,Az,gx,gy,gz
1,0,0,7.63,1.65,1.81,0.02,-0.46,-0.41
1,0,9,7.48,2.35,1.91,0,-0.27,-0.35
1,0,19,7.27,2.32,2.11,-0.01,-0.23,-0.27
1,0,29,7.58,2.23,2.04,0,-0.28,-0.18
1,0,38,7.58,2.43,2,0,-0.34,-0.13
1,0,48,7.49,2.33,2.01,0.03,-0.31,-0.15
1,0,58,7.68,2.72,2.06,0.08,-0.31,-0.18
1,0,70,7.77,2.93,2.23,0.16,-0.28,-0.19
1,0,80,7.73,2.99,2.6,0.23,-0.29,-0.18
1,0,90,8.05,2.42,3.01,0.31,-0.28,-0.2
1,0,98,8.13,2.65,3.23,0.43,-0.15,-0.24
1,0,109,8.05,2.67,3.3,0.56,-0.1,-0.25
1,0,119,7.75,2.77,3.22,0.67,-0.11,-0.25
1,0,129,7.56,2.69,3.39,0.76,-0.19,-0.22
1,0,139,7.61,2.54,3.51,0.86,-0.27,-0.2
1,0,149,7.5,2.22,3.79,1,-0.24,-0.16
1,0,159,7.39,2.18,4.16,1.21,-0.18,-0.11
1,0,169,7.14,1.79,4.25,1.45,-0.11,-0.04
1,0,179,6.81,1.8,4.23,1.67,0.01,0.05
1,0,189,6.03,1.26,3.98,1.81,0.09,0.19
1,0,198,4.94,0.78,3.52,1.91,0.27,0.38
1,0,208,3.85,0.35,2.65,1.98,0.34,0.59
1,0,218,2.93,0,1.47,2.02,0.19,0.83
1,0,228,2.13,-0.22,0.65,1.97,0.05,1.08
1,0,244,1.56,-0.64,-0.13,1.81,0.06,1.38
1,0,249,1.79,-0.94,-0.85,1.7,0.11,1.73
1,0,259,2.74,-0.89,-2.41,1.68,0.1,2.19
1,0,271,3.84,-0.68,-3.53,1.64,0.2,2.64
1,0,280,4.89,-0.53,-4.82,1.45,0.53,3.04
1,0,291,5.71,-0.45,-6.52,1.13,0.86,3.38
1,0,298,6.53,-0.35,-8.3,0.75,0.98,3.63
1,0,310,7.92,0.13,-9.96,0.35,0.83,3.79
1,0,318,9.7,0.55,-11.11,-0.1,0.58,3.85
1,0,329,12.16,1.26,-11.79,-0.64,0.39,3.81
1,0,339,14.55,1.75,-12.05,-1.18,0.37,3.72
1,0,351,17.13,2.59,-12.01,-1.68,0.54,3.59
1,0,358,19.06,3.2,-11.61,-2.19,0.74,3.39
1,0,369,19.61,3.57,-11.54,-2.7,0.93,3.12
1,0,379,19.61,3.93,-11.21,-3.25,1.07,2.77
1,0,388,19.61,4.26,-10.09,-3.78,1.2,2.36
1,0,399,19.61,4.07,-8.37,-4.31,1.27,1.9
1,0,409,19.61,3.42,-5.79,-4.37,1.53,1.4
1,0,420,19.61,3.17,-2.96,-4.37,1.64,0.82
1,0,430,19.61,1.51,-0.52,-4.37,1.49,0.19
1,0,439,19.61,-0.58,2.05,-4.37,1.07,-0.47
1,0,448,19.61,-2.46,5.86,-4.37,0.63,-1.2
1,0,458,19.61,-4.05,9.21,-4.37,0.03,-2.03
1,0,469,19.61,-5.25,11.93,-4.28,-0.7,-2.82
1,0,478,19.61,-6.22,13.89,-3.45,-1.24,-3.55
1,0,489,19.12,-6.64,14.79,-2.63,-1.53,-4.06
1,0,502,17.27,-7.29,14.76,-1.72,-1.71,-4.36
1,0,511,16.16,-7.41,14.76,-1.21,-1.48,-4.33
1,0,522,14.85,-7.11,14.47,-0.74,-1.05,-4.16
1,0,531,13.59,-6.54,13.86,-0.27,-0.58,-3.91
1,0,542,12.64,-5.77,13.01,0.25,-0.18,-3.7
1,0,552,11.46,-4.84,11.92,0.79,0.08,-3.57
1,0,561,10.13,-3.86,10.5,1.31,0.21,-3.57
1,0,573,8.58,-3.19,8.33,1.7,0.06,-3.62
1,0,581,6.98,-2.68,6.09,1.95,-0.23,-3.7
1,0,593,5.57,-2.3,4.35,2,-0.47,-3.72
1,0,601,4.5,-2.11,3.31,1.95,-0.56,-3.65
1,0,612,3.34,-1.85,2.76,1.92,-0.47,-3.49
1,0,622,1.95,-1.88,2.39,1.95,-0.3,-3.24
1,0,632,0.75,-1.62,2.13,2.02,-0.09,-2.86
1,0,642,-0.44,-1.36,1.47,2.12,0.16,-2.35
1,0,655,-1.52,-1.18,0.46,2.18,0.47,-1.73
1,0,664,-2.43,-0.9,-0.73,2.14,0.75,-1.05
1,0,672,-3.22,-0.53,-2.06,1.99,0.94,-0.4
1,0,681,-3.83,-0.14,-3.01,1.75,1.04,0.14
1,0,692,-4.16,0.28,-3.64,1.49,0.97,0.56
1,0,701,-4.3,0.3,-3.72,1.23,0.93,0.96
1,0,712,-4.43,0.19,-3.52,1.04,0.89,1.34
1,0,721,-4.73,-0.16,-3.3,0.93,0.89,1.78
1,0,734,-4.95,-0.55,-3.31,0.89,0.85,2.29
1,0,741,-5.08,-1.15,-3.6,0.86,0.85,2.9
1,0,751,-4.75,-1.46,-4.08,0.83,0.83,3.54
1,0,761,-3.87,-1.84,-4.63,0.76,0.69,4.17
1,0,772,-2.45,-2.04,-4.56,0.7,0.49,4.37
1,0,783,-0.27,-2.18,-4.28,0.63,0.32,4.37
1,0,791,1.89,-2.75,-4.06,0.56,0.22,4.37
1,0,801,3.98,-3.47,-3.97,0.45,0.19,4.37
1,0,812,6.57,-4.16,-4,0.31,0.22,4.37
1,0,824,9.99,-4.75,-3.45,0.13,0.34,4.37
1,0,832,13.42,-5.21,-2.47,-0.08,0.65,4.37
1,0,841,17.09,-5.36,-1.84,-0.28,0.83,4.37
1,0,852,19.61,-5.11,-0.73,-0.43,1,4.37
1,0,862,19.61,-4.76,0.43,-0.53,1.02,4.37
1,0,874,19.61,-4.48,1.66,-0.53,0.97,4.37
1,0,881,19.61,-4.01,2.48,-0.41,0.75,3.79
1,0,892,19.61,-4.03,2.69,-0.23,0.41,2.94
1,0,902,19.61,-3.87,2.74,-0.04,0.06,2.18
1,0,912,19.61,-3.63,2.71,0.12,-0.06,1.58
1,0,922,19.61,-3.48,2.67,0.24,-0.02,1.1
1,0,933,19.61,-3.47,2.01,0.33,0.12,0.74
1,0,942,19.61,-3.29,1.48,0.39,0.21,0.49
1,0,952,19.17,-3.03,0.97,0.4,0.28,0.28
1,0,961,18.24,-2.71,0.49,0.37,0.31,0.04
1,0,971,17.43,-2.48,0.01,0.31,0.26,-0.23
1,0,981,16.54,-2.26,-0.3,0.26,0.16,-0.52
1,0,991,15.74,-2.24,-0.45,0.21,-0.05,-0.82
1,0,1001,14.66,-2.15,-0.41,0.16,-0.18,-1.09
1,0,1012,13.91,-2.28,-0.29,0.09,-0.29,-1.28
1,0,1022,13.11,-2.4,-0.13,0.02,-0.35,-1.4
1,0,1031,12.23,-2.51,0.06,-0.01,-0.33,-1.46
1,0,1042,11.4,-2.84,0.17,-0.03,-0.22,-1.41
1,0,1051,10.86,-2.94,0.28,-0.05,-0.1,-1.27
1,1,0,8.09,2.73,0.22,0,0.1,-0.07
