tag,id,time,Ax,Ay,Az,gx,gy,gz
1,0,0,10.61,-0.16,-1.88,0.25,0.01,-0.19
1,0,10,10.21,-0.35,-2.12,0.2,0.01,-0.1
1,0,20,10.76,-0.06,-2.21,0.1,0.16,-0.02
1,0,35,10.32,-0.57,-2.15,0.02,0.28,0.01
1,0,46,10.56,0,-1.84,-0.02,0.31,-0.02
1,0,51,10.63,0.1,-1.58,0.02,0.2,-0.07
1,0,61,10.37,0.26,-1.54,0.07,0.03,-0.09
1,0,70,10.39,-0.18,-1.38,0.12,-0.32,-0.07
1,0,81,10.44,-0.24,-1.42,0.16,-0.44,-0.04
1,0,90,10.43,-0.59,-1.75,0.2,-0.38,-0.03
1,0,104,10.65,-0.36,-2.16,0.22,-0.34,-0.01
1,0,111,10.52,-0.45,-2.62,0.2,-0.2,-0.02
1,0,120,10.55,-0.18,-2.95,0.13,-0.1,-0.02
1,0,130,10.47,-0.06,-3.87,0.04,-0.01,0.02
1,0,143,10.45,-0.03,-4.96,-0.1,0.11,0.1
1,0,150,10.3,0.03,-5.79,-0.3,0.25,0.17
1,0,160,10.49,0.45,-6.56,-0.55,0.39,0.22
1,0,172,10.71,0.83,-7.3,-0.82,0.52,0.28
1,0,181,10.75,0.92,-7.96,-1.11,0.55,0.33
1,0,191,11.15,1.53,-8.37,-1.4,0.57,0.36
1,0,200,11.42,1.85,-8.91,-1.76,0.49,0.35
1,0,210,11.71,1.74,-9.13,-2.14,0.49,0.29
1,0,221,11.64,1.96,-9.5,-2.54,0.47,0.19
1,0,231,11.51,1.94,-10.02,-2.98,0.44,0.06
1,0,240,11.43,1.92,-9.82,-3.48,0.36,-0.03
1,0,250,10.92,1.63,-9.41,-4.03,0.31,-0.05
1,0,260,10.39,0.71,-8.5,-4.37,0.27,-0.01
1,0,270,9.67,-1.06,-6.72,-4.37,0.45,0.04
1,0,280,9.89,-0.95,-4.84,-4.37,0.86,0.05
1,0,290,9.74,-1.94,-3.23,-4.37,1.01,0.08
1,0,300,9.55,-2.49,-2.05,-4.37,1.11,0.16
1,0,310,9.08,-3.09,-0.49,-4.37,1.01,0.23
1,0,320,8.88,-4.38,1.17,-4.37,0.86,0.3
1,0,330,9,-5.67,2.86,-4.31,0.69,0.39
1,0,341,9.08,-7.14,4.61,-4.03,0.63,0.5
1,0,350,9.23,-8.43,6.12,-3.62,0.69,0.58
1,0,360,9.59,-9.65,8.1,-3.07,0.87,0.62
1,0,370,9.74,-10.42,9.86,-2.36,0.96,0.6
1,0,380,9.69,-10.96,11.36,-1.51,0.98,0.49
1,0,390,9.64,-10.6,12.65,-0.57,0.89,0.27
1,0,400,9.16,-9.81,13.08,0.42,0.52,0.03
1,0,410,8.31,-9.17,12.95,1.44,-0.02,-0.18
1,0,420,7.82,-8.57,12.04,2.43,-0.67,-0.28
1,0,430,7.35,-8.07,10.89,3.37,-1.05,-0.28
1,0,440,7.16,-7.69,9.7,4.18,-1.45,-0.2
1,0,450,7.24,-7.83,8.09,4.37,-1.51,-0.08
1,0,460,7.77,-6.91,6.34,4.37,-1.6,0.09
1,0,470,8.38,-6.73,4,4.37,-1.66,0.23
1,0,480,9.39,-5.47,0.75,4.37,-1.65,0.31
1,0,491,10.13,-3.35,-2.8,4.37,-1.46,0.28
1,0,503,10.19,-1.76,-4.9,4.37,-1.54,0.11
1,0,510,10.52,0.18,-7.13,4.37,-1.62,-0.16
1,0,520,10.86,1.86,-8.46,4.06,-1.63,-0.45
1,0,531,10.33,1.71,-8.16,3.24,-1.61,-0.72
1,0,540,10.71,2.38,-7.67,2.66,-1.28,-0.92
1,0,554,10.62,2.29,-7.04,2.37,-1.02,-0.96
1,0,560,10.19,2.18,-6.51,2.27,-0.96,-0.88
1,0,570,9.96,2.18,-6.5,2.23,-0.8,-0.74
1,0,581,9.67,2.06,-6.67,2.17,-0.67,-0.54
1,0,590,9.38,2.05,-7.12,2.07,-0.61,-0.35
1,0,600,9.53,2.2,-7.6,1.9,-0.63,-0.2
1,0,610,9.42,2.38,-8.39,1.56,-0.56,-0.12
1,0,620,9.18,2.22,-8.57,1.08,-0.41,-0.07
1,0,630,9.22,2.11,-8.22,0.57,-0.31,-0.04
1,0,640,9.4,1.69,-7.29,0.17,-0.11,0.02
1,0,650,9.58,1.13,-6.22,-0.05,0.03,0.1
1,0,661,9.77,0.65,-5.25,-0.11,0.1,0.13
1,0,670,10.18,0.66,-4.46,-0.09,0.11,0.12
1,0,680,10.26,0.57,-4.17,-0.05,0.07,0.08
1,0,690,10.19,0.48,-3.98,-0.02,-0.03,0.07
1,0,701,10.13,0.31,-4.05,-0.03,-0.02,0.09
1,0,710,10.2,0.33,-3.96,-0.1,-0.06,0.17
1,0,721,10.18,0.09,-4.18,-0.2,-0.05,0.26
1,0,730,10.24,-0.14,-4.07,-0.33,0.06,0.31
1,0,740,10.32,-0.07,-3.83,-0.45,0.13,0.34
1,0,750,10.3,-0.3,-3.38,-0.52,0.16,0.34
1,0,760,10.25,-0.44,-3.11,-0.55,0.21,0.32
1,0,771,10.24,-0.47,-2.9,-0.55,0.21,0.31
1,0,781,10.26,-0.38,-2.79,-0.54,0.22,0.31
1,0,790,10.35,-0.13,-2.8,-0.56,0.23,0.34
1,0,803,10.27,-0.12,-2.74,-0.58,0.24,0.36
1,0,811,10.49,0.05,-2.66,-0.6,0.28,0.38
1,0,820,10.39,0,-2.4,-0.61,0.28,0.38
1,0,830,10.5,0.08,-2.27,-0.59,0.23,0.39
1,0,841,10.45,0.02,-2.3,-0.55,0.13,0.38
1,1,0,9.63,-0.23,-2.43,0.25,0.5,-0.25
1,1,10,9.7,-0.05,-2.33,0.24,0.25,-0.11
1,1,20,9.9,-0.3,-2.22,0.23,0,-0.04
1,1,30,10.06,-0.82,-2.04,0.24,0.04,-0.04
1,1,40,10.3,-0.48,-1.94,0.23,0.15,-0.04
1,1,54,10.26,-0.54,-2.1,0.24,0.19,-0.01
1,1,63,10.18,-0.38,-2.31,0.26,0.16,0.03
1,1,70,10.26,-0.38,-2.32,0.26,0.11,0.03
1,1,81,10.31,-0.34,-2.49,0.25,0,0.01
1,1,90,10.26,-0.51,-2.69,0.22,-0.05,-0.01
1,1,101,10.27,-0.38,-2.99,0.19,-0.07,-0.03
1,1,110,10.19,-0.41,-3.01,0.16,-0.04,-0.04
1,1,122,10.15,-0.32,-3.29,0.11,-0.02,-0.03
1,1,132,10.26,-0.13,-3.62,0.09,-0.03,-0.01
1,1,142,10.31,-0.2,-4.14,0.05,-0.01,0.02
1,1,151,10.35,-0.07,-5,-0.04,0.07,0.08
1,1,160,10.37,0.31,-6.17,-0.24,0.2,0.15
1,1,171,10.58,0.68,-7.58,-0.59,0.31,0.22
1,1,180,10.35,1.14,-8.6,-1.04,0.48,0.27
1,1,190,10.22,1.57,-8.96,-1.54,0.56,0.28
1,1,200,10.53,1.63,-9.37,-2,0.59,0.32
1,1,215,10.86,1.9,-9.56,-2.42,0.73,0.37
1,1,220,10.82,1.9,-9.54,-2.89,0.77,0.38
1,1,230,11.04,2.26,-10.12,-3.44,0.94,0.37
1,1,240,10.81,1.59,-10.06,-4.1,1.08,0.37
1,1,253,10.72,1.34,-9.35,-4.37,1.11,0.38
1,1,260,10.65,0.7,-8.75,-4.37,0.98,0.35
1,1,270,10.49,-0.74,-7.07,-4.37,1.08,0.26
1,1,280,10.57,-1.02,-4.72,-4.37,1.05,0.15
1,1,290,10.32,-2.46,-2.66,-4.37,0.93,0.08
1,1,300,10.17,-3.77,-0.76,-4.37,0.92,0.08
1,1,310,10.07,-4.56,1.17,-4.37,0.89,0.14
1,1,320,9.8,-5.43,2.43,-4.24,0.77,0.22
1,1,330,9.53,-6.59,3.89,-3.64,0.74,0.25
1,1,340,9.81,-7.54,5.06,-3.03,0.67,0.19
1,1,350,10.24,-8.21,5.84,-2.34,0.65,0.1
1,1,361,10.54,-8.91,6.63,-1.65,0.62,0.02
1,1,370,10.46,-9.34,7.8,-0.97,0.49,-0.07
1,1,381,10.42,-9.23,9.19,-0.21,0.36,-0.17
1,1,391,10.31,-9.05,10.14,0.68,0.03,-0.26
1,1,400,10.1,-8.43,10.33,1.69,-0.24,-0.34
1,1,410,9.73,-7.71,10.15,2.67,-0.5,-0.42
1,1,420,9.24,-7.27,9.58,3.64,-0.81,-0.46
1,1,432,8.84,-7.3,8.63,4.37,-0.95,-0.45
1,1,440,9.05,-6.74,6.91,4.37,-1.01,-0.38
1,1,450,9.22,-6.95,4.31,4.37,-1.04,-0.27
1,1,460,10.15,-5.12,-0.46,4.37,-0.9,-0.18
1,1,470,9.52,-3.26,-3.19,4.37,-0.64,-0.2
1,1,480,8.91,-1,-4.76,4.37,-0.94,-0.36
1,1,490,9.12,0.99,-5.94,4.26,-1.24,-0.63
1,1,500,9.26,1.73,-5.6,3.6,-1.55,-0.83
1,1,510,9.31,1.83,-5.19,3.13,-1.76,-0.95
1,1,520,9.57,1.67,-4.66,2.84,-1.75,-0.95
1,1,531,9.51,1.43,-4.33,2.67,-1.64,-0.85
1,1,540,9.51,1.26,-4.32,2.58,-1.41,-0.68
1,1,550,9.35,1.07,-4.86,2.51,-1.16,-0.47
1,1,562,9.44,1.53,-5.5,2.39,-0.87,-0.29
1,1,570,8.98,1.38,-6.12,2.13,-0.68,-0.17
1,1,580,9.14,1.97,-6.94,1.81,-0.53,-0.11
1,1,590,9.08,2.23,-7.48,1.39,-0.41,-0.07
1,1,600,8.93,2.15,-7.4,0.9,-0.31,-0.04
1,1,610,9.31,2.19,-6.76,0.48,-0.23,-0.01
1,1,620,9.39,1.83,-5.95,0.21,-0.07,0.04
1,1,630,9.57,1.53,-5.2,0.1,0.05,0.11
1,1,640,9.67,1.36,-4.83,0.1,0.08,0.18
1,1,650,9.78,1.23,-4.57,0.15,0.07,0.19
1,1,662,9.8,1.23,-4.5,0.19,0,0.19
1,1,670,9.85,1.11,-4.5,0.18,-0.08,0.19
1,1,681,9.8,0.93,-4.6,0.15,-0.11,0.22
1,1,694,9.91,0.66,-4.54,0.06,-0.04,0.28
1,1,702,9.9,0.56,-4.46,-0.06,0.08,0.37
1,1,710,9.97,0.23,-4.19,-0.17,0.2,0.48
1,1,720,10,-0.03,-3.81,-0.26,0.34,0.59
1,1,730,10.27,-0.04,-3.37,-0.3,0.43,0.67
1,1,742,10.48,-0.02,-3.09,-0.32,0.44,0.68
1,1,751,10.72,0.13,-2.84,-0.33,0.4,0.66
1,1,760,10.69,0.06,-2.93,-0.34,0.27,0.6
1,1,771,10.77,0.11,-2.82,-0.34,0.19,0.55
1,2,0,10.43,-0.12,-1.41,0.21,0.62,-0.25
1,2,9,9.94,-0.48,-1.51,0.35,0.57,-0.29
1,2,19,9.91,-0.15,-1.65,0.48,0.48,-0.28
1,2,29,9.98,-0.11,-1.67,0.53,0.32,-0.2
1,2,39,10.01,-0.04,-1.98,0.49,0.21,-0.09
1,2,49,10.08,0.05,-2.27,0.39,0.08,-0.02
1,2,63,10.29,0.09,-2.71,0.3,-0.12,-0.02
1,2,71,10.38,0.03,-2.7,0.21,-0.25,-0.06
1,2,79,10.54,-0.21,-2.53,0.13,-0.13,-0.12
1,2,89,10.73,0,-2.66,0.1,-0.03,-0.14
1,2,103,10.55,0.02,-3.23,0.17,-0.06,-0.15
1,2,114,10.67,0.33,-3.93,0.2,-0.13,-0.17
1,2,124,10.68,0.59,-5.01,0.13,-0.07,-0.18
1,2,133,10.62,0.56,-6.6,-0.1,-0.04,-0.16
1,2,143,10.42,0.84,-8.4,-0.5,0.01,-0.1
1,2,153,10.28,1.59,-9.93,-0.97,0.12,-0.02
1,2,163,9.94,2.28,-11.22,-1.47,0.32,0.05
1,2,173,9.31,3.24,-11.78,-1.92,0.44,0.1
1,2,183,8.8,3.65,-12.33,-2.32,0.57,0.19
1,2,194,8.63,3.82,-12.52,-2.7,0.73,0.32
1,2,203,8.16,3.14,-12.68,-3.18,0.89,0.5
1,2,214,8.11,2.02,-12.26,-3.76,1.15,0.68
1,2,223,8.52,1.3,-11.04,-4.37,1.25,0.86
1,2,233,8.71,0.01,-9.45,-4.37,1.24,0.99
1,2,243,9.05,-1.41,-7.84,-4.37,1.15,1.07
1,2,255,9.37,-2.82,-5.74,-4.37,1.07,1.09
1,2,263,9.87,-4.46,-3.41,-4.37,1.19,1.01
1,2,273,10.6,-5.3,-0.89,-4.37,1.19,0.91
1,2,286,10.81,-6.72,1.32,-4.37,0.99,0.78
1,2,293,11.02,-7.71,3.49,-4.37,0.72,0.66
1,2,303,11.23,-9.05,5.5,-4.37,0.58,0.5
1,2,313,11.5,-9.23,7.21,-3.91,0.55,0.29
1,2,325,11.62,-9.93,8.79,-3.16,0.46,0.06
1,2,333,11.56,-10.47,9.73,-2.36,0.46,-0.13
1,2,343,11.16,-10.87,10.27,-1.55,0.36,-0.23
1,2,353,10.71,-11.09,10.53,-0.76,0.28,-0.24
1,2,363,10.16,-10.96,10.98,0.07,0.28,-0.26
1,2,373,9.87,-10.42,11.36,0.97,0.18,-0.3
1,2,383,9.5,-9.73,11.09,1.96,-0.11,-0.38
1,2,393,9.17,-9.02,10.26,2.92,-0.43,-0.47
1,2,404,8.8,-8.3,9.01,3.78,-0.74,-0.56
1,2,415,8.53,-7.93,7.73,4.37,-1.12,-0.6
1,2,427,8.4,-7.69,6.36,4.37,-1.4,-0.64
1,2,434,8.42,-7.96,5,4.37,-1.41,-0.68
1,2,443,9.32,-6.6,2.77,4.37,-1.34,-0.73
1,2,454,9.73,-5.13,-0.06,4.37,-1.42,-0.77
1,2,464,9.55,-3.58,-3.05,4.37,-1.49,-0.82
1,2,474,9.58,-1.73,-5.78,4.37,-1.61,-0.89
1,2,483,9.31,-0.07,-7.73,4.37,-1.61,-0.93
1,2,493,9.02,0.98,-8.7,4.37,-1.7,-0.98
1,2,503,9.15,1.54,-9.04,4.27,-1.71,-0.99
1,2,513,9.4,2,-9.04,3.76,-1.66,-0.95
1,2,523,9.54,2.15,-9.23,3.3,-1.4,-0.82
