tag,id,time,Ax,Ay,Az,gx,gy,gz
1,0,0,9.52,3.63,-0.59,-0.02,0.19,0.07
1,0,10,9.19,4.36,-0.49,-0.03,0.07,0.05
1,0,20,9.15,4.21,-0.56,-0.04,0.01,0.03
1,0,32,9.17,3.99,-0.39,-0.06,0.14,0.05
1,0,44,9.04,4.36,-0.27,-0.08,0.2,0.09
1,0,53,8.84,4.22,-0.41,-0.1,0.18,0.1
1,0,61,8.88,4.3,-0.53,-0.13,0.15,0.13
1,0,71,8.89,4.44,-0.56,-0.19,0.16,0.18
1,0,81,8.88,4.24,-0.54,-0.25,0.19,0.22
1,0,93,8.89,4.27,-0.26,-0.3,0.22,0.27
1,0,102,8.62,3.78,0.18,-0.33,0.31,0.31
1,0,113,8.66,3.76,0.73,-0.32,0.38,0.34
1,0,123,8.44,3.53,1.48,-0.28,0.4,0.35
1,0,134,7.92,3.19,2.14,-0.21,0.4,0.34
1,0,142,7.32,2.57,2.92,-0.14,0.41,0.35
1,0,152,6.27,1.89,3.88,-0.05,0.45,0.4
1,0,162,5.03,0.79,4.85,0.05,0.44,0.48
1,0,172,4.21,0,6.06,0.2,0.37,0.6
1,0,183,3.66,-0.5,7.41,0.44,0.21,0.72
1,0,192,3.46,-1.14,8.59,0.8,-0.08,0.83
1,0,202,3.52,-1.86,9.2,1.27,-0.3,0.95
1,0,212,3.62,-2.61,9.15,1.76,-0.34,1.13
1,0,224,3.69,-3.09,8.78,2.24,-0.29,1.4
1,0,232,4.1,-3.55,7.88,2.68,-0.29,1.71
1,0,244,5.41,-3.2,6.4,3.1,-0.23,2.05
1,0,253,7.01,-3.17,4.77,3.48,-0.15,2.3
1,0,262,8.82,-2.7,2.76,3.75,-0.05,2.41
1,0,273,10.62,-2.12,0.9,3.86,0.08,2.4
1,0,284,11.84,-1.23,-1.15,3.82,0.17,2.28
1,0,293,12.87,-0.95,-2.92,3.7,0.22,2.12
1,0,302,13.44,-0.3,-4.59,3.52,0.32,1.98
1,0,312,13.3,-0.03,-5.78,3.27,0.37,1.87
1,0,322,13.01,0.04,-7.29,2.98,0.36,1.83
1,0,332,12.95,0.43,-8.71,2.69,0.38,1.83
1,0,342,13.65,0.67,-10.07,2.41,0.39,1.88
1,0,353,14.58,1.59,-11.26,2.12,0.36,1.9
1,0,363,15.47,2.16,-12.25,1.82,0.35,1.81
1,0,373,16.22,2.79,-13.07,1.49,0.27,1.62
1,0,382,16.39,3.15,-13.81,1.11,0.14,1.34
1,0,392,16.36,3.51,-14.39,0.67,-0.04,1.01
1,0,404,15.81,3.36,-14.47,0.18,-0.19,0.72
1,0,412,15.14,2.81,-14.45,-0.3,-0.29,0.53
1,0,422,14.48,2.35,-14.28,-0.76,-0.35,0.41
1,0,433,14.1,1.89,-13.75,-1.17,-0.33,0.34
1,0,443,13.48,1.34,-13.1,-1.57,-0.16,0.31
1,0,453,12.79,0.65,-12.42,-1.97,-0.03,0.33
1,0,463,12.17,0.24,-11.79,-2.34,0.09,0.37
1,0,472,11.52,-0.32,-11,-2.69,0.2,0.41
1,0,482,10.81,-1.03,-10.27,-3.03,0.23,0.46
1,0,492,10.13,-1.67,-9.31,-3.33,0.18,0.49
1,0,503,9.71,-2.42,-8.02,-3.54,0.08,0.51
1,0,513,9.46,-2.82,-6.85,-3.63,-0.06,0.49
1,0,522,9.2,-3.39,-5.83,-3.66,-0.18,0.47
1,0,532,9.06,-3.82,-5.07,-3.68,-0.28,0.52
1,0,542,9.06,-4.31,-4.1,-3.71,-0.27,0.63
1,0,553,9.3,-4.53,-3.16,-3.75,-0.24,0.78
1,0,565,9.72,-4.46,-2.16,-3.77,-0.17,0.93
1,0,572,10.27,-4.62,-0.89,-3.75,-0.08,0.99
1,0,582,10.96,-4.3,0.21,-3.65,-0.09,0.95
1,0,592,11.57,-4.37,1.31,-3.51,-0.19,0.83
1,0,602,12.11,-4.52,2.3,-3.37,-0.3,0.71
1,0,614,12.77,-4.12,3.17,-3.24,-0.33,0.6
1,0,622,13.14,-4.07,3.89,-3.13,-0.33,0.51
1,0,633,13.44,-3.99,4.63,-2.98,-0.27,0.43
1,0,643,13.77,-4.09,5.48,-2.82,-0.22,0.36
1,0,652,14.14,-3.94,6.36,-2.6,-0.15,0.25
1,0,663,14.39,-3.99,7.2,-2.33,-0.12,0.09
1,0,672,14.64,-4.07,7.72,-2,-0.13,-0.08
1,0,683,14.74,-3.97,7.99,-1.66,-0.11,-0.24
1,0,693,14.79,-3.69,7.94,-1.32,-0.1,-0.38
1,0,702,14.74,-3.71,7.85,-1.02,-0.08,-0.51
1,0,713,14.64,-3.51,8.01,-0.74,0.04,-0.63
1,0,722,14.53,-3.37,8.09,-0.42,0.19,-0.73
1,0,733,14.16,-3.13,7.99,-0.03,0.32,-0.82
1,0,742,13.99,-3.01,7.66,0.39,0.36,-0.93
1,0,752,13.88,-2.62,6.94,0.78,0.32,-1.07
1,0,763,13.89,-2.43,5.95,1.08,0.26,-1.24
1,0,773,13.56,-2.15,4.98,1.27,0.12,-1.44
1,0,783,13.12,-2.11,4.26,1.39,-0.06,-1.66
1,0,793,12.98,-1.97,3.73,1.48,-0.19,-1.87
1,0,804,12.61,-2.07,3.47,1.57,-0.16,-1.99
1,0,812,12.12,-2.02,3,1.68,-0.07,-2.02
1,0,822,11.63,-1.85,2.26,1.84,0.04,-1.99
1,0,833,11.25,-1.89,1.71,2.03,0.17,-1.96
1,0,842,10.76,-1.42,0.69,2.24,0.18,-1.95
1,0,853,10.29,-1,-0.51,2.41,0.12,-1.94
1,0,863,9.75,-0.6,-1.66,2.49,0.02,-1.94
1,0,873,9.22,0,-2.82,2.44,0.05,-1.92
1,0,882,8.2,0.39,-3.8,2.29,0.16,-1.84
1,0,892,7.13,0.64,-4.42,2.1,0.22,-1.69
1,0,902,6.65,1.09,-4.93,1.94,0.25,-1.47
1,0,912,6.28,1.29,-5.38,1.82,0.27,-1.25
1,0,924,6.05,1.67,-5.66,1.73,0.32,-1.08
1,0,933,6.18,1.99,-5.96,1.59,0.29,-0.92
1,0,942,6.3,2.23,-6.27,1.42,0.29,-0.78
1,0,952,6.25,2.58,-6.26,1.23,0.19,-0.7
1,0,964,6.39,2.71,-6.23,1.05,0.12,-0.65
1,0,975,6.44,2.83,-6.18,0.84,0.04,-0.58
1,0,982,6.65,2.77,-6.12,0.6,0.01,-0.49
1,0,993,6.83,2.73,-5.55,0.36,-0.02,-0.39
1,0,1003,7.25,2.69,-4.95,0.2,-0.04,-0.33
1,0,1017,7.58,2.58,-4.34,0.12,-0.02,-0.29
1,0,1022,7.91,2.51,-3.95,0.09,0.02,-0.22
1,0,1032,8.11,2.48,-3.59,0.06,0.06,-0.14
1,0,1043,8.36,2.41,-3.37,0.04,0.13,-0.06
1,0,1052,8.46,2.32,-3.14,0.01,0.21,0.02
1,0,1064,8.62,2.42,-3,0,0.26,0.07
