tag,id,time,Ax,Ay,Az,gx,gy,gz
1,0,0,9.98,0.49,0.31,-0.35,0.13,0.22
1,0,10,9.65,-0.13,0.74,-0.32,0.11,0.27
1,0,20,9.95,0.05,1.61,-0.25,0.15,0.3
1,0,30,10.07,0.04,1.89,-0.09,0.32,0.3
1,0,40,10.05,0,1.64,0.1,0.42,0.31
1,0,51,10.01,0.14,1.25,0.2,0.53,0.35
1,0,60,10.03,0.23,0.8,0.2,0.54,0.4
1,0,72,10.01,0.27,0.53,0.11,0.51,0.43
1,0,81,10.05,0.86,0.46,0.02,0.4,0.44
1,0,90,10.1,0.79,0.47,-0.08,0.22,0.43
1,0,100,10.13,0.6,0.56,-0.14,0.07,0.41
1,0,112,10.41,0.61,0.73,-0.17,-0.01,0.4
1,0,120,10.94,0.51,0.86,-0.15,-0.03,0.42
1,0,130,11.69,0.82,0.77,-0.1,-0.08,0.46
1,0,140,13.15,0.96,0.66,-0.05,-0.1,0.51
1,0,150,15.56,1.3,0.12,-0.03,-0.12,0.55
1,0,162,18.51,1.21,0.03,-0.12,0.07,0.5
1,0,172,19.61,1.24,0.31,-0.28,0.32,0.28
1,0,182,19.61,0.65,1.11,-0.4,0.42,-0.19
1,0,190,19.61,-0.34,2.14,-0.4,0.29,-0.96
1,0,200,19.61,-1.37,3.49,-0.27,-0.02,-2.05
1,0,210,19.61,-2.42,4.4,-0.07,-0.34,-3.29
1,0,220,19.61,-3.16,4.7,0.15,-0.64,-4.37
1,0,230,19.61,-3.88,4.47,0.35,-0.84,-4.37
1,0,240,19.61,-4.02,3.64,0.48,-0.93,-4.37
1,0,250,17.51,-4.26,2.3,0.5,-0.72,-4.37
1,0,260,12.99,-3.88,0.87,0.44,-0.46,-4.37
1,0,275,9.64,-2.98,-0.68,0.36,-0.16,-4.37
1,0,283,6.16,-1.67,-2.06,0.27,0.19,-4.37
1,0,291,1.91,-0.33,-2.54,0.08,0.68,-4.37
1,0,300,-2.37,-0.02,-2.91,-0.21,0.72,-4.15
1,0,310,-6.69,0.36,-2.74,-0.48,0.6,-3.73
1,0,320,-10.21,0.41,-1.92,-0.56,0.44,-3.17
1,0,330,-13.17,0.29,-1.23,-0.5,0.22,-2.46
1,0,340,-15.63,0.21,-0.54,-0.4,0.07,-1.55
1,0,350,-17.09,-0.1,-0.4,-0.31,-0.03,-0.46
1,0,360,-17.52,-0.76,-0.36,-0.21,-0.17,0.74
1,0,370,-16.66,-0.66,-0.04,-0.06,-0.33,1.9
1,0,381,-14.63,-0.96,-0.04,0.11,-0.5,2.94
1,0,391,-12,-1.67,0,0.35,-0.71,3.81
1,0,400,-9,-2.4,-0.46,0.6,-0.87,4.37
1,0,410,-5.1,-3.37,-2.14,0.77,-0.83,4.37
1,0,422,-0.81,-3.65,-3.61,0.66,-0.57,4.37
1,0,430,4.03,-3.97,-4.04,0.27,-0.21,4.37
1,0,440,9.03,-3.78,-3.62,-0.16,0.11,4.37
1,0,450,14.06,-3.41,-2.28,-0.47,0.35,4.37
1,0,460,18.39,-3.17,-0.47,-0.61,0.55,4.37
1,0,470,19.61,-2.87,0.85,-0.59,0.84,4.37
1,0,480,19.61,-2.98,1.55,-0.45,0.75,4.37
1,0,490,19.61,-2.48,2.23,-0.26,0.61,4.37
1,0,500,19.61,-1.95,2.55,-0.12,0.59,3.49
1,0,510,19.61,-1.68,2.18,-0.11,0.43,2.55
1,0,520,19.61,-1.74,1.68,-0.2,0.2,1.73
1,0,530,19.61,-1.97,1.99,-0.3,-0.01,1.09
1,0,540,19.61,-1.87,2.33,-0.33,-0.03,0.69
1,0,550,18.27,-1.88,2.33,-0.24,0,0.44
1,0,560,17.01,-1.83,2.1,-0.14,0.07,0.27
1,0,571,15.89,-1.73,1.93,-0.06,0.11,0.14
1,0,583,14.77,-1.65,1.92,-0.02,0.07,0
1,0,590,14.03,-1.79,1.92,0.04,-0.1,-0.19
1,0,601,13.04,-1.98,2.01,0.13,-0.24,-0.37
1,0,610,12.11,-2.01,1.95,0.23,-0.37,-0.48
1,0,620,11.36,-2.22,1.28,0.3,-0.17,-0.47
1,0,630,10.67,-1.82,0.8,0.32,-0.08,-0.34
1,0,641,9.93,-1.8,0.49,0.29,-0.05,-0.21
1,1,0,9.42,-0.7,0.96,0.28,0.5,-0.22
1,1,12,9.33,-0.53,0.82,0.39,0.63,-0.14
1,1,20,9.1,-0.66,0.5,0.37,0.65,0.01
1,1,31,8.99,-0.54,0.3,0.27,0.6,0.17
1,1,40,9.03,-0.53,0.38,0.16,0.51,0.26
1,1,55,9.31,-0.68,0.53,0.1,0.53,0.3
1,1,60,9.62,-0.4,0.99,0.1,0.61,0.32
1,1,70,9.54,-0.12,1.12,0.13,0.52,0.33
1,1,80,9.55,-0.14,1.05,0.15,0.31,0.35
1,1,90,9.68,-0.22,0.88,0.15,0.15,0.36
1,1,100,9.81,-0.09,0.85,0.13,0.1,0.34
1,1,110,9.79,-0.15,0.66,0.09,0.06,0.34
1,1,120,9.89,-0.22,0.68,0.05,-0.01,0.34
1,1,130,9.93,-0.26,0.79,0.02,-0.05,0.33
1,1,140,10.08,-0.37,0.83,0.01,-0.05,0.3
1,1,150,10.16,-0.48,1.06,0.03,0,0.28
1,1,165,10.27,-0.56,1.01,0.06,0.04,0.28
1,1,171,10.42,-0.52,1.14,0.09,0.09,0.29
1,1,180,10.36,-0.63,0.93,0.09,0.15,0.3
1,1,190,10.47,-0.55,0.86,0.07,0.2,0.32
1,1,200,10.45,-0.64,0.72,0.02,0.15,0.32
1,1,210,10.56,-0.79,0.94,-0.02,0.12,0.29
1,1,220,10.75,-1.05,1.06,-0.04,0.09,0.25
1,1,230,10.96,-0.85,1.33,0.01,0.03,0.18
1,1,240,11.07,-0.91,1.59,0.09,-0.02,0.07
1,1,250,11.22,-0.86,1.77,0.18,-0.07,0
1,1,265,11.38,-0.92,1.44,0.23,-0.09,-0.03
1,1,271,12.03,-0.63,1.41,0.24,-0.13,-0.01
1,1,280,13.18,-0.55,1.34,0.2,-0.14,0.02
1,1,290,14.75,-0.44,1.09,0.12,-0.11,0.03
1,1,300,17.22,-0.53,1.37,0.04,-0.19,-0.07
1,1,310,19.61,-0.44,1.99,0.03,-0.22,-0.38
1,1,323,19.61,-0.62,3.23,0.14,-0.32,-1.01
1,1,333,19.61,-1.16,3.72,0.35,-0.56,-2.17
1,1,342,19.61,-1.85,3.81,0.5,-1.05,-3.42
1,1,351,19.61,-2.42,3.56,0.54,-1.57,-4.37
1,1,362,19.61,-3.01,3.43,0.52,-1.92,-4.37
1,1,374,19.61,-3.53,3.28,0.48,-2.02,-4.37
1,1,382,18.98,-3.94,2.63,0.5,-1.83,-4.37
1,1,392,16.33,-3.88,1.7,0.56,-1.59,-4.37
1,1,402,13.68,-3.44,0.64,0.58,-1.21,-4.37
1,1,412,10.94,-2.94,-0.49,0.56,-0.87,-4.37
1,1,422,8.36,-2.07,-1.47,0.51,-0.74,-4.37
1,1,432,5.45,-0.78,-2.36,0.43,-0.67,-4.37
1,1,442,2.34,0.02,-3.28,0.23,-0.58,-4.37
1,1,453,-1.11,0.34,-4.07,-0.1,-0.35,-4.37
1,1,462,-4.1,0.97,-4.1,-0.42,-0.12,-4.37
1,1,473,-6.68,1.36,-3.84,-0.64,0.11,-4.08
1,1,482,-9.2,1.63,-3.38,-0.73,0.42,-3.02
1,1,492,-11.08,1.89,-2.98,-0.77,0.45,-1.88
1,1,502,-11.82,2.08,-2.6,-0.79,0.52,-0.71
1,1,513,-12.11,2.18,-2.11,-0.83,0.61,0.44
1,1,522,-12.03,1.91,-1.52,-0.84,0.66,1.46
1,1,533,-11.55,1.53,-1.01,-0.79,0.53,2.37
1,1,542,-10.47,0.77,-0.45,-0.69,0.48,3.25
1,1,552,-8.91,0.04,-0.13,-0.52,0.37,4.13
1,1,562,-7.05,-0.92,0.35,-0.31,0.24,4.37
1,1,573,-4.49,-1.67,0.57,-0.12,0.23,4.37
1,1,582,-1.59,-2.72,-0.11,0.01,0.32,4.37
1,1,592,1.49,-3.41,-0.64,-0.01,0.38,4.37
1,1,603,4.64,-3.88,-0.96,-0.14,0.55,4.37
1,1,612,8.07,-4.09,-0.59,-0.34,0.66,4.37
1,1,622,11.6,-4.28,0.01,-0.48,0.81,4.37
1,1,633,14.79,-4.5,0.98,-0.52,1,4.37
1,1,643,17.72,-4.15,2.25,-0.46,1.19,4.37
1,1,652,19.54,-3.92,3.11,-0.3,1.19,4.37
1,1,662,19.61,-3.57,2.82,-0.09,0.89,4.37
1,1,673,19.61,-2.83,2.49,0.01,0.66,4.37
1,1,684,19.61,-2.39,2.32,-0.08,0.36,3.61
1,1,692,19.61,-2.08,2.31,-0.24,0.01,2.54
1,1,703,19.61,-2.2,2.3,-0.29,-0.26,1.68
1,1,714,18.97,-2.49,2.56,-0.25,-0.42,1.12
1,1,723,17.9,-2.63,2.52,-0.16,-0.39,0.81
1,1,732,17.08,-2.55,2.47,-0.04,-0.23,0.68
1,1,742,16.23,-2.47,2.32,0.1,-0.04,0.64
1,1,752,15.62,-2.24,1.91,0.21,0.11,0.61
1,1,762,14.96,-2.01,1.55,0.27,0.19,0.5
1,1,776,14.46,-1.84,1.05,0.26,0.21,0.33
1,1,782,13.89,-1.58,0.73,0.2,0.19,0.12
1,1,792,13.02,-1.51,0.6,0.11,0.14,-0.12
1,1,804,12.18,-1.42,0.55,0.04,0.04,-0.35
1,1,812,11.41,-1.48,0.86,0.02,-0.06,-0.5
1,1,824,10.54,-1.58,0.9,0.04,-0.12,-0.54
1,1,834,9.99,-1.7,0.8,0.06,-0.14,-0.5
1,1,843,9.48,-1.55,0.86,0.08,-0.12,-0.41
1,1,852,9.22,-1.69,0.73,0.1,-0.08,-0.28
1,1,862,8.99,-1.54,0.61,0.11,-0.04,-0.16
1,1,873,9.06,-1.37,0.64,0.09,-0.04,-0.08
1,1,882,9.01,-1.19,0.59,0.07,-0.09,-0.06
1,1,892,9.11,-1.09,0.58,0.06,-0.18,-0.09
1,1,902,9.02,-1.03,0.73,0.07,-0.39,-0.13
1,1,912,9.07,-1.09,0.91,0.08,-0.6,-0.17
1,1,922,8.99,-1.15,0.85,0.11,-0.62,-0.17
1,1,933,8.95,-1.32,0.92,0.15,-0.65,-0.12
1,2,0,10.14,-2.22,1.09,0.02,-0.03,-0.05
1,2,11,10.09,-2.11,1.17,0.09,0.05,-0.01
1,2,21,10.06,-2.1,0.91,0.11,0.08,0.04
1,2,31,10.13,-2.04,0.6,0.12,0.13,0.09
1,2,41,10.17,-1.82,0.28,0.07,0.18,0.13
1,2,51,10.19,-1.7,0.16,-0.02,0.15,0.13
1,2,61,10.29,-1.58,0.23,-0.09,0.09,0.09
1,2,70,10.44,-1.52,0.35,-0.13,0.06,0.04
1,2,80,10.42,-1.42,0.38,-0.11,0.02,-0.01
1,2,91,10.34,-1.45,0.48,-0.08,-0.05,-0.04
1,2,100,10.33,-1.45,0.46,-0.06,-0.04,-0.04
1,2,110,10.45,-1.44,0.38,-0.06,0.02,0
1,2,121,10.32,-1.36,0.1,-0.08,0.02,0.03
1,2,130,10.41,-1.38,0.16,-0.1,0.07,0.03
1,2,142,10.4,-1.41,0.14,-0.14,0.02,0.01
1,2,150,10.36,-1.35,0.24,-0.17,0.01,-0.03
1,2,160,10.48,-1.36,0.33,-0.18,-0.03,-0.07
1,2,171,10.51,-1.36,0.51,-0.16,-0.08,-0.11
1,2,180,10.52,-1.38,0.6,-0.16,-0.1,-0.14
1,2,190,10.53,-1.36,0.49,-0.18,-0.07,-0.13
1,2,200,10.71,-1.26,0.53,-0.21,-0.06,-0.1
1,2,210,10.99,-1.27,0.73,-0.24,-0.04,-0.05
1,2,222,11.51,-1.05,0.95,-0.26,-0.02,-0.02
1,2,230,12.15,-1.17,1.08,-0.28,-0.05,-0.01
1,2,240,13.41,-1.04,1.44,-0.27,-0.08,-0.01
1,2,250,14.99,-1.06,1.78,-0.22,-0.08,-0.04
1,2,260,17.18,-0.92,2.22,-0.12,-0.08,-0.12
1,2,272,19.6,-0.77,2.42,-0.01,-0.03,-0.34
1,2,280,19.61,-0.8,2.16,0.05,-0.04,-0.78
1,2,291,19.61,-0.93,2.23,0.02,-0.11,-1.51
1,2,300,19.61,-1.6,2.83,-0.05,-0.29,-2.5
1,2,310,19.61,-2.45,3.34,-0.05,-0.55,-3.61
1,2,322,19.61,-3.61,3.63,0.05,-0.74,-4.37
1,2,331,19.61,-4.77,3.59,0.19,-1,-4.37
1,2,340,19.61,-5.75,3.08,0.3,-1.3,-4.37
1,2,353,19.24,-6.37,3.02,0.35,-1.34,-4.37
1,2,360,16.4,-6.94,2.41,0.4,-1.31,-4.37
1,2,370,13.13,-6.93,1.96,0.49,-1.02,-4.37
1,2,380,9.97,-6.66,1.06,0.6,-0.73,-4.37
1,2,390,6.59,-5.59,-0.19,0.68,-0.49,-4.37
1,2,403,3.11,-4.31,-1.62,0.65,-0.31,-4.37
1,2,411,-0.61,-3.08,-2.74,0.45,-0.35,-4.37
1,2,426,-4.19,-1.78,-3.1,0.11,-0.54,-4.37
1,2,431,-7.1,-1.07,-3.34,-0.23,-0.42,-4.37
1,2,440,-9.92,-0.26,-3.18,-0.47,-0.23,-4.03
1,2,450,-11.69,0.65,-2.95,-0.59,0.07,-2.66
1,2,460,-12.41,1.55,-2.51,-0.59,0.21,-1.32
1,2,470,-12.04,2.34,-2.41,-0.49,0.3,-0.22
1,2,480,-11.47,3.01,-2.17,-0.44,0.31,0.65
1,2,491,-10.7,3.2,-2.85,-0.46,0.06,1.35
1,2,500,-9.61,3.22,-3.23,-0.51,-0.19,1.95
1,2,515,-8.59,2.83,-3.27,-0.62,-0.4,2.55
1,2,520,-7.47,1.95,-3.11,-0.72,-0.57,3.21
1,2,530,-6.07,1.07,-2.46,-0.74,-0.63,3.95
1,2,540,-4.5,-0.23,-1.76,-0.69,-0.64,4.37
1,2,550,-2.3,-1.38,-0.94,-0.58,-0.59,4.37
1,2,560,0.32,-2.72,-0.3,-0.42,-0.4,4.37
1,2,570,3.48,-3.56,-0.17,-0.24,-0.18,4.37
1,2,580,7.21,-4.08,0.02,-0.1,0.18,4.37
1,2,590,10.86,-4.39,0.52,-0.05,0.64,4.37
1,2,600,14.04,-4.43,0.48,-0.07,1.18,4.37
1,2,611,16.65,-4.38,0.65,-0.12,1.34,4.37
1,2,620,18.85,-4.25,1.54,-0.16,1.3,4.37
1,2,631,19.61,-4.06,1.83,-0.16,1.02,4.37
1,2,640,19.61,-3.87,2.15,-0.1,0.63,4.37
1,2,651,19.61,-3.34,2.09,-0.03,0.25,3.97
1,2,660,19.61,-2.99,1.95,-0.04,0,2.84
1,2,671,19.61,-2.91,1.79,-0.08,-0.16,1.91
1,2,680,19.61,-2.87,1.93,-0.08,-0.22,1.27
1,2,691,19.61,-2.69,1.87,-0.01,-0.18,0.87
1,2,700,18.66,-2.64,1.81,0.08,-0.1,0.63
1,2,710,17.75,-2.33,1.53,0.16,0.09,0.47
1,2,720,16.86,-2.1,1.22,0.21,0.22,0.33
1,2,732,16.23,-1.82,0.87,0.25,0.27,0.17
1,2,740,15.57,-1.49,0.49,0.26,0.28,-0.03
1,2,750,14.81,-1.34,0.28,0.23,0.29,-0.26
1,2,761,13.97,-1.23,0.08,0.18,0.25,-0.48
1,2,770,13.09,-1.13,0.1,0.13,0.2,-0.65
1,2,780,12.14,-1.1,-0.04,0.1,0.16,-0.78
1,2,793,11.37,-1.12,0.2,0.09,0.13,-0.83
1,2,800,10.4,-1.17,0.15,0.1,0.09,-0.81
1,2,810,9.86,-1.2,0.15,0.12,0.05,-0.76
1,2,820,9.4,-1.07,0.17,0.13,0.02,-0.69
1,2,830,9.09,-0.99,0.18,0.12,0.03,-0.61
1,2,840,8.89,-1.01,0.31,0.11,0.02,-0.53
1,2,850,8.74,-0.96,0.16,0.1,0.01,-0.45
1,2,860,8.61,-0.8,0.11,0.07,-0.01,-0.38
1,2,870,8.59,-0.78,0.09,0.04,-0.05,-0.33
1,2,881,8.66,-0.71,0.13,0,-0.11,-0.29
1,2,891,8.69,-0.64,0.33,-0.03,-0.18,-0.27
1,2,903,8.72,-0.64,0.39,-0.04,-0.26,-0.26
1,2,911,9.02,-0.68,0.67,-0.02,-0.41,-0.27
1,2,920,9.21,-0.58,0.94,0.02,-0.45,-0.26
1,3,0,10.31,-0.8,0.67,0.03,0.07,-0.02
1,3,9,10.43,-0.4,1.07,0.13,0.02,-0.03
1,3,18,10.11,-0.54,0.93,0.16,0.08,0.03
1,3,28,9.81,-0.71,0.7,0.16,0.11,0.12
1,3,39,9.79,-0.71,0.59,0.17,0.11,0.23
1,3,48,9.71,-0.83,0.58,0.15,0.18,0.31
1,3,58,9.75,-0.95,0.51,0.12,0.21,0.36
1,3,69,9.68,-0.96,0.46,0.12,0.23,0.38
1,3,79,10.01,-0.9,0.86,0.12,0.22,0.38
1,3,88,10.07,-0.83,0.87,0.14,0.2,0.35
1,3,98,10.24,-0.82,0.88,0.17,0.2,0.3
1,3,109,10.23,-0.77,0.86,0.17,0.18,0.3
1,3,118,10.3,-0.86,0.61,0.14,0.13,0.31
1,3,129,10.41,-0.78,0.68,0.12,0.06,0.33
1,3,142,10.69,-0.8,0.77,0.08,0.01,0.32
1,3,148,10.98,-0.9,0.84,0.06,-0.03,0.29
1,3,159,11.43,-0.89,1,0.06,-0.09,0.27
1,3,168,12.38,-0.82,0.99,0.06,-0.13,0.24
1,3,178,13.31,-0.86,0.7,0.05,-0.2,0.18
1,3,188,15.18,-1.01,0.25,0.01,-0.33,0.11
1,3,198,18.27,-0.98,0.51,-0.04,-0.39,0.05
1,3,208,19.61,-0.9,1.22,-0.06,-0.21,-0.15
1,3,220,19.61,-0.58,1.9,0.04,-0.02,-0.61
1,3,229,19.61,-0.51,2.32,0.25,0.02,-1.4
1,3,238,19.61,-0.67,2.3,0.44,-0.11,-2.46
1,3,248,19.61,-1.32,1.79,0.47,-0.34,-3.66
1,3,258,19.61,-2.37,1.14,0.37,-0.79,-4.37
1,3,268,19.61,-3.28,1.17,0.23,-1.19,-4.37
1,3,278,19.61,-4.34,1.27,0.14,-1.55,-4.37
1,3,288,19.21,-4.9,1.38,0.09,-1.89,-4.37
1,3,298,17.05,-5.29,1.42,0.06,-2.04,-4.37
1,3,309,14.55,-5.49,1.62,0.02,-1.73,-4.37
1,3,318,11.53,-5.86,1.22,0.02,-1.28,-4.37
1,3,329,7.64,-5.41,0.96,0.08,-0.56,-4.37
1,3,338,3.89,-4.58,0.24,0.2,0.23,-4.37
1,3,349,-0.01,-2.8,-1.5,0.29,0.88,-4.37
1,3,359,-3.72,-1.17,-3.35,0.25,1.11,-4.37
1,3,369,-5.73,0.6,-3.92,-0.02,0.86,-3.56
1,3,380,-6.15,2.36,-3.3,-0.48,0.71,-2.7
1,3,390,-6.92,3.5,-2.5,-0.72,0.87,-2.16
1,3,400,-8.2,3.88,-1.63,-0.78,0.81,-1.65
1,3,410,-9.12,4.1,-1.36,-0.69,0.54,-1.09
1,3,420,-9.56,4.45,-0.78,-0.57,0.4,-0.48
1,3,432,-10.11,4.42,-0.78,-0.49,0.29,0.19
1,3,441,-10.24,4.13,-0.75,-0.47,0.1,0.93
1,3,451,-9.7,3.58,-0.73,-0.45,0.01,1.71
1,3,460,-8.96,2.9,-0.51,-0.45,-0.08,2.48
